"","synthetic_question","article_ids"
79,"Quelles conditions doivent être remplies pour que le Roi ait le droit de dissoudre la Chambre des représentants?",22481
80,"Quels droits peut exercer l'acquéreur à pacte de rachat selon cet article de loi?",2426
81,"Quelles sont les montants de subvention annuelle spécifiques accordés pour les services résidentiels pour adultes selon l'article donné?",8749
82,"Quel type d'entité peut proposer une question à négocier au sein du comité de négociation selon cet article de la loi statutaire belge?",11452
83,"Les conditions d'éligibilité pour l'établissement d'une adoption internationale sont-elles définies dans cet article de loi ?",5389
84,"Quelles sont les conditions pour qu'un demandeur puisse requérir le renvoi d'une affaire devant le tribunal d'arrondissement en cas de contestation de la compétence du juge saisi?",4725
85,"Quelles sont les étapes préalables que le Ministre doit suivre avant de retirer la reconnaissance d'une fédération des maisons arc-en-ciel selon l'article 694/14 du Code décrétal ?",9823
86,"Quelles sont les modalités d'application du présent chapitre selon l'article 609 de la loi?",517
87,"Quelle est la peine prévue pour ceux qui vendent sciemment des papiers ou des matières d'or ou d'argent marqués d'un timbre ou d'un poinçon contrefait ou falsifié?",6291
88,"Quelles sont les modalités de dépôt de l'appel selon cet article de la loi?",4773
89,"Quelles sont les responsabilités et qualifications requises pour le maître d'expérience dans une expérience sur animaux en vertu de cet article de loi?",12385
90,"Quels sont les modalités prévues aux articles D.11 à D.14 pour l'octroi des subventions aux comices agricoles?",11290
91,"Quelles possibilités le procureur général a-t-il en ce qui concerne la délégation de ses fonctions, en vertu de l'article de loi donné ?",13675
92,"Quels documents doivent être communiqués au Comité selon l'article de loi donné?",22158
93,"Quelles sont les responsabilités du juge délégué selon cet article de la loi belge ?",15753
94,"Qu'est-ce qui met fin à l'action des agents compétents visés à l'article XV.60/4 ?",15487
95,"Quelles sont les conditions dans lesquelles le juge peut abréger ou proroger les délais établis par la loi?",3845
96,"Quels sont les droits accordés aux personnes intéressées en vertu de l'article XI.152 de la loi en question ?",15069
97,"Est-ce que le commandant d'un navire est autorisé à appareiller sans avoir à bord les approvisionnements en vivres suffisants pour les besoins des personnes embarquées?",19136
98,"Quelles sont les conditions dans lesquelles une personne déclarée incapable peut demander l'annulation de son mariage?",1036
99,"Quelles sont les circonstances dans lesquelles le projet de modification du plan communal de développement doit faire l'objet d'un rapport sur les incidences environnementales, selon l'article donné de la loi belge ?",260
100,"Quelle est la sanction prévue pour quiconque enfreint l'article 2.4.5.12, § 1er ou 2 de la loi?",19617
101,"Quelles sont les sanctions prévues pour une personne ayant obtenu ou tenté d'obtenir frauduleusement le bénéfice de l'assistance à laquelle elle n'a pas droit, selon l'article donné?",4784
102,"Quelles informations doivent être fournies à l'usager lors de son premier accueil par un service de santé mentale en vertu de cet article de la loi?",10664
103,"Quelles sont les conditions pour que le gouvernement reconnaisse des missions spécifiques supplémentaires développées par les Centres d'opérationnalisation en médecine préventive dans le cadre de la mise en oeuvre du plan ?",10439
104,"Quelles sont les modalités de calcul de la subvention complémentaire pour les plates-formes affiliées à une fédération selon l'article donné de la loi statutaire belge ?",9484
105,"Quels critères doivent être respectés pour qu'une proposition d'affiliation soit déposée par un parti politique en vue d'assurer l'utilisation d'un numéro d'ordre commun sur le bulletin de vote pour une élection à venir en Wallonie ?",17928
106,"Quelles sont les sanctions encourues par un candidat acceptant qui figure sur plus d'une liste dans la même élection, selon l'article de loi cité ?",3211
107,"Quelles sont les conséquences pour un pouvoir organisateur dans le cas où il ne respecte pas les injonctions du directeur de zone concernant un contrat d'objectifs ou un processus de suivi tel que stipulé dans l'article donné?",11387
108,"Quel est le délai minimum requis pour la convocation à l'assemblée générale des obligataires selon l'article de loi donné?",20181
109,"Quelles sont les deux raisons pour lesquelles un travailleur peut demander une consultation spontanée au conseiller en prévention-médecin du travail selon l'article donné ?",21079
110,"Quelles sont les actions constituant une infraction de deuxième catégorie selon la partie VIII de la partie décrétale du Livre Ier du Code de l'Environnement?",16913
111,"Quels types d'activités la cellule mobile d'intervention réalise-t-elle selon l'article de loi donné ?",8275
112,"Quels éléments doivent apparaître dans le compte d'exécution du budget conformément à l'article donné de la loi statutaire belge?",9530
113,"Quelle est l'autorité compétente à laquelle l'intéressé peut demander la suppression de la mesure en fonction de la notification de la décision de confirmation dans cette loi en particulier ?",13103
114,"Quelles conséquences peuvent être imposées à une partie ou à un tiers qui s'abstient de produire un document ou sa copie sans motif légitime, selon l'article de loi donné?",4973
115,"Quelles sont les étapes prévues pour le Gouvernement afin d'adopter directement un arrêté de classement d'un bien immobilier en vertu de l'article donné?",448
116,"Quelles sont les conditions sous lesquelles le Roi peut instaurer un système de compensation des redevances d'utilisation de l'infrastructure ferroviaire selon l'article de la loi donné?",3342
117,"Quelles entités doivent recevoir les remarques et conclusions des audits selon cet article de la loi belge ?",8252
118,"Quelles sont les obligations spécifiques imposées aux distributeurs en ce qui concerne la communication des informations financières à la S.P.G.E?",16625
119,"Quelles sont les maladies pour lesquelles un agent en activité de service peut demander une dispense de service en vue de subir un examen selon cet article de loi?",18595
120,"Quelles sont les instances auxquelles la chambre des entreprises en difficulté peut communiquer le dossier d'un débiteur en situation de faillite ou de dissolution de personne morale selon l'article donné ?",15738
121,"Quelles sont les responsabilités du président du tribunal du travail en ce qui concerne les demandes formulées en vertu de l'article 3 de la loi du 23 avril 1998?",4631
122,"Quels sont les pouvoirs spécifiques accordés au Gouvernement en cas de violation de la loi ou de préjudice à l'intérêt général par une autorité visée à l'article L3111-1, § 1er, en excluant les établissements visés au 7° et financés au niveau communal ?",17632
123,"Quelles sont les modalités de constatation d'une augmentation de capital suite à une conversion d'obligations en actions, selon l'article donné de la loi belge?",20546
124,"Quels critères le juge doit-il vérifier de manière automatique en ce qui concerne sa compétence internationale?",15964
125,"Quelles autorités sont responsables de régler l'organisation de l'administration forestière, le mode de nomination de ses agents et préposés, et le taux des traitements, indemnités et frais selon l'article de loi donné ?",3533
126,"Quelles dispositions s'appliquent aux agents qui exercent des prestations réduites pour raisons sociales ou familiales à la date d'entrée en vigueur de cet arrêté?",18670
127,"Quelles sont les fonctions spécifiques des membres du conseil de la chambre d'arrondissement selon l'article donné de la loi belge?",4557
128,"Les services de logement supervisés créés sur base de l'article 1203 peuvent-ils être situés en dehors du site des services résidentiels concernés, en vertu de cet article?",8679
129,"Quelles sont les obligations de l'employeur en matière d'établissement d'un plan de montage, de démontage et de transformation d'un échafaudage selon l'article IV.5-7?",21657
130,"Quelles sont les fonctions spécifiques que le personnel exerçant dans un établissement pour animaux d'expérience doit remplir en termes de bien-être animal selon cet article de loi?",12375
131,"Quelles sont les conséquences de non-exécution des actes, travaux ou charges imposés par un permis d'urbanisation au terme de cinq ans ?",12861
132,"Quelles sont les principales décisions qui doivent être soumises à l'approbation du Collège provincial selon cet article de la loi statutaire belge?",16262
133,"Quelles sont les conséquences si aucun des titulaires du droit de préemption n'a exprimé son intention d'exercer ce droit dans le délai légal selon l'article de la loi statutaire belge donné ?",504
134,"Quel est le délai impartis pour la publication ou la diffusion des avis ou communiqués avant le début de l'enquête selon cet article de la loi?",13151
135,"Quelles sont les conditions fixées par le Roi concernant la perception et la restitution des provisions prévues à l'article 953, alinéas 1 et 2?",5046
136,"Quelles obligations sont imposées à l'adjudicataire en cas de non-fourniture des cautions requises lors de la vente immobilière en question ?",3577
137,"Quelle est la procédure à suivre pour la proclamation publique des résultats du dépouillement dans une commune chef-lieu de canton?",17992
138,"Quelles sont les principales informations qui doivent figurer dans le règlement d'ordre intérieur du comité d'accompagnement établi?",11742
139,"Quelles sont les peines prévues pour la diffusion de substances qui donnent l'impression d'être dangereuses et peuvent inspirer des craintes d'attentat, selon cet article de loi?",6445
140,"Quels sont les délais prévus pour l'accusé de réception d'une demande de reconnaissance par l'administration selon l'article de loi donné?",9732
141,"Quelles sont les indications minimales devant figurer dans la notice explicative jointe à la demande unique pour les agriculteurs ou les demandeurs d'aide non-agriculteurs ?",10904
142,"Quelles sont les modifications apportées à l'arrêté royal du 19 septembre 1967 par les divers arrêtés royaux et l'arrêté de l'Exécutif de la Communauté française mentionnés dans l'article 137 de l'arrêté en question ?",9624
143,"Quelles responsabilités incombent au donneur d'ordre en ce qui concerne les actions du commissionnaire ou du voiturier intermédiaire dans le cadre du transport d'objets?",14887
144,"Quel est le délai imparti au demandeur pour introduire un recours contre une décision de refus de certification auprès du Ministre, tel que stipulé dans l'article donné ?",16746
145,"Quelles sont les événements qui déclenchent l'ouverture d'une succession selon cet article de loi?",1643
146,"Quelles sont les conditions pour que le paiement des dettes provenant de l'exercice d'une profession interdite par un des époux puisse être poursuivi sur le patrimoine commun selon cet article de la loi belge?",2253
147,"Quel tribunal a un droit de surveillance sur les justices de paix et les tribunaux de police dans l'arrondissement judiciaire de Bruxelles en vertu de l'article donné?",4339
148,"Quelle est la classe énergétique minimale à laquelle un bâtiment doit appartenir pour répondre à l'exigence en matière d'efficacité énergétique pour l'acquisition et la location de bâtiments par les pouvoirs publics régionaux, selon l'article en question ?",200
149,"Quelles sont les principaux objectifs communaux définis dans le schéma de développement communal tel que décrit dans cet article statutaire ?",12512
150,"Quelle est la période de temps durant laquelle le jugement doit être notifié à toutes les parties concernées selon cet article de loi?",5935
151,"Quelles sont les actions interdites concernant l'utilisation des dénominations enregistrées selon l'article donné ?",14298
152,"Quelle est la fréquence à laquelle l'Autorité Nationale de Sûreté Maritime doit réexaminer chaque évaluation de sécurité du port selon l'article de loi donné?",19173
153,"Quels critères doivent être respectés par les établissements demandant la requalification de places de centre d'accueil de jour en places de centre de soins de jours selon l'article de la loi statutaire donné ?",9241
154,"Quelles sont les responsabilités du curateur dans la procédure de faillite selon cet article de la loi?",15808
155,"Quelles informations doivent figurer sur le relevé de compte fourni au consommateur suite à l'ouverture de crédit, selon l'article de droit donné ?",14433
156,"Quelles informations sont spécifiquement fournies dans l'annexe 44 approuvée ?",7682
157,"Quelle est la durée maximale des services pouvant être pris en compte dans le calcul de la pension de retraite d'un agent public, selon l'article de loi donné ?",18603
158,"Quelles sont les dispositions prévues pour permettre aux entreprises ferroviaires d'opérer conformément aux règles nationales et aux conditions fixées dans leur certificat de sécurité unique dans le cadre du système de gestion de la sécurité du gestionnaire de l'infrastructure?",3376
159,"Quelles sanctions sont prévues pour le notaire et le fonctionnaire concernant le dépôt et l'enregistrement d'un acte ou écrit non dûment payé selon l'article de loi donné ?",22247
160,"Quelles sont les personnes pour lesquelles les liquidateurs sont responsables en vertu de cet article de loi belge?",19929
161,"Quel est l'organe responsable de la certification de l'état des dépenses relatives aux frais de personnel et de fonctionnement dans le cadre de la réalisation des actions approuvées au sens du présent titre, tel que prévu par l'article de loi donné?",17745
162,"Quels types de demandes peuvent être traitées par le juge saisi de la demande principale en vérification d'écritures selon l'article de loi donné ?",4974
163,"Quelles personnes peuvent contester la filiation maternelle établie dans l'acte de naissance, et dans quel délai peuvent-elles le faire ?",1093
164,"Quelles peines sont prévues pour la contrefaçon de coupons de transport ou de sceaux, timbres et marques en vertu de cet article de la loi statutaire belge?",6294
165,"À quelle date et dans quel ordre sont constatés les dépôts dans le registre de dépôts mentionné dans l'article de loi donné ?",18792
166,"Quelles sont les options dont dispose le créancier d'une obligation contractée solidairement en termes de choix de débiteur à qui s'adresser selon cet article de loi ?",2091
167,"Quels sont les pouvoirs conférés aux agents du Service de contrôle en cas de suspicion d'une violation des dispositions mentionnées à l'article XI.279 ou à l'article XV.112 ?",15428
168,"Quels sont les différents moyens par lesquels une infraction punie d'une sanction de niveau 2, 3 ou 4 et visée au Livre 2 peut être poursuivie, selon l'article de loi donné ?",6905
169,"Quelles sont les circonstances dans lesquelles le Roi peut désigner un conseiller à une cour d'appel pour exercer ses fonctions auprès d'une cour d'appel d'un autre ressort, selon l'article de la loi donné ?",3920
170,"Quelles sont les modalités de fonctionnement du conseil d'avis du service de santé mentale selon cet article de la loi statutaire belge?",10676
171,"Quels critères sont pris en compte pour traiter des demandes en justice comme connexes selon cet article de loi belge ?",3818
172,"Quelles sont les règles concernant la possibilité pour chaque héritier d'exiger l'exécution de l'obligation indivisible dans le cas d'une dette ou d'une chose à remettre ou à recevoir?",2112
173,"Quelle information doit contenir l'extrait de la décision judiciaire concernant la nullité d'une opération pour une ASBL, une AISBL ou une fondation conformément à l'article donné de la loi?",20778
174,"Quelles informations doivent figurer dans la demande d'agrément du service selon l'article donné?",9755
175,"Que peut faire le procureur du Roi dans les cas prévus aux articles 32 et 46?",13286
176,"Quelles sont les formes légales pour la rédaction d'un testament en Belgique selon l'article donné?",1863
177,"Quelles sont les personnes qui ne sont pas autorisées à faire partie des conseils communaux ou des collèges communaux selon l'article de loi donné?",17104
178,"Quels sont les délais impartis pour l'établissement et la remise du rapport sur les dépenses de propagande électorale par les présidents des bureaux principaux de circonscription électorale suite aux élections?",2993
179,"Qu'est-ce que l'article définit comme étant une enchère publique ?",13929
180,"Quelles sont les obligations du centre public d'aide sociale en matière de communication de décisions et de rapports d'activités, telles que stipulées dans l'article donné?",16607
181,"Quelles sont les conditions permettant à un prestataire de services de la société de l'information de ne pas être tenu responsable des informations stockées à la demande d'un destinataire du service selon l'article donné ?",15345
182,"Quelles sont les conditions pour que le tribunal de l'entreprise puisse prononcer la nullité d'une fusion ou d'une scission en vertu de l'article donné ?",20670
183,"Quel est le délai accordé pour introduire un recours auprès du Ministre contre une décision concernant l'agrément demandé ?",16925
184,"Quelles informations doivent être mises à la disposition des associés ou actionnaires un mois avant la réunion de l'assemblée générale pour se prononcer sur le projet de scission selon l'article donné de la loi belge ?",20731
185,"Quelles règles doivent être respectées concernant le dossier d'une personne lors de sa réorientation vers un autre service en vertu de cet article de la loi?",8923
186,"Quelles sont les modalités de calcul de la subvention octroyée aux services pour financer les emplois compensatoires liés aux trois jours de congés annuels supplémentaires?",8058
187,"Quelles sont les conditions dans lesquelles le gestionnaire peut d'office exécuter des travaux sans mettre en demeure le contrevenant en vertu de l'article donné?",16175
188,"Quel est le délai de paiement d'une amende administrative et qui est habilité à accorder un délai plus long si nécessaire en vertu de l'article XV.60/4 ?",15484
189,"Quels types d'infractions sont spécifiquement mentionnés dans les articles 136bis, 136ter, 136quater, 136sexies et 136septies de la loi citée?",6240
190,"Quel est le montant prévu annuellement au budget du Gouvernement pour le fonctionnement des Conseils consultatifs des locataires et des SISP, et quelles sont les modalités d'attribution de ces subsides ?",697
191,"Quelle consultation doit être effectuée avant que le Gouvernement ne prenne sa décision concernant l'expropriation dans le cadre de la réalisation du plan régional d'affectation du sol en vertu de l'article 158?",284
192,"Quelles peines sont prévues pour la tentative de commettre les délits mentionnés à l'article 135quater ?",6232
193,"Quelle autorité est responsable de reconnaître l'identité d'un individu condamné, évadé et repris selon cet article de loi?",13821
194,"Quelles informations doivent être fournies dans l'état mensuel établi par les bénéficiaires selon l'article du Code mentionné?",18705
195,"Quelles sont les sanctions prévues en cas de fraude sur la nature, la qualité ou la quantité des travaux, de la main-d'oeuvre ou des choses fournies selon cet article de la loi belge?",6416
196,"Quelle est la procédure à suivre pour que les créanciers privilégiés ou hypothécaires puissent concourir avec les créanciers chirographaires sur les deniers dévolus à la masse chirographaire selon cet article de loi?",15894
197,"Quelles mesures le conseiller en prévention-médecin du travail est-il autorisé à prendre s'il constate une blessure susceptible de constituer un risque de contamination par Clostridium tetani chez un travailleur dans les cinq ans suivant la vaccination de base ou le rappel de vaccination?",22091
198,"Quels sont les modes de notification de la décision de suspension, de réduction ou de retrait d'une autorisation de fonctionnement d'une structure d'hébergement selon cet article de loi?",7396
199,"Quelle méthode est utilisée pour déterminer l'offre de services selon l'article de loi fourni ?",8994
200,"Quelles conditions doivent être remplies par les critères encadrant l'exercice du pouvoir d'appréciation des autorités compétentes selon l'article III.2 de la loi ?",13955
201,"Quels sont les critères selon lesquels l'exercice des droits d'usage pourra être réduit selon l'article de loi donné ?",3640
202,"À partir de quel montant les sommes dues en matières d'indemnités et d'allocations sont-elles payées en tenant compte des fractions de cent selon cet article de loi?",18681
203,"Quels éléments doivent obligatoirement être inclus dans le rapport établi par l'installateur d'un système d'épuration individuelle selon l'article de loi donné ?",16735
204,"Quelles sont les sanctions prévues pour ceux qui se présentent dans les lieux accessibles au public le visage masqué ou dissimulé en tout ou en partie?",6760
205,"Quelles sont les conséquences si une demande d'action en lien avec un dommage environnemental est formulée de manière trop vague ou trop générale?",11967
206,"À quel moment les parties doivent-elles envoyer leurs conclusions au secrétaire?",7748
207,"Quelles sont les modalités d'évaluation auxquelles une fédération doit se soumettre une fois reconnue, tel que stipulé dans l'article donné de la loi statutaire belge?",10793
208,"Les bateaux de navigation intérieure peuvent-ils être considérés comme des immeubles par destination selon cet article?",19488
209,"Quelles normes en matière de personnel sont prévues par l'annexe 114/3 et comment sont-elles contrôlées dans une entité administrative selon l'article 1314/1, 6° ?",8830
210,"Quelles sont les conditions requises pour qu'une personne morale de droit public puisse conclure une convention d'arbitrage selon cet article de loi?",5999
211,"Quels sont les projets pour lesquels la procédure de demande de permis d'urbanisme, de permis d'environnement ou de permis unique peut être menée conjointement à une procédure de révision du plan de secteur selon l'article donné?",12632
212,"Est-ce que les appels téléphoniques à des fins de marketing direct vers des numéros de téléphone inscrits dans un certain fichier sont interdits selon cet article ?",14286
213,"Quelle est la procédure à suivre en cas de décès d'un ressortissant belge à l'étranger et un premier lieu d'atterrissage situé en dehors de la Belgique, selon l'article de loi cité?",2931
214,"Quelles autorités sont habilitées à poursuivre le recouvrement des impôts dus à une commune lorsque les contribuables sont domiciliés dans une autre commune selon l'article de loi donné ?",17096
