,synthetic_question,article_ids
14,Vous avez acheté un produit défectueux en ligne et souhaitez régler le litige par le biais du Service de médiation pour le consommateur. Est-ce que le traitement de votre demande par le service de médiation pour le consommateur sera gratuit ?,979
15,J'ai acheté un produit défectueux en France. Est-ce que le Service de médiation pour le consommateur peut traiter ma réclamation gratuitement ?,1303
16,Je viens de donner naissance à mon enfant et je veux officialiser sa naissance. Puis-je faire la déclaration de naissance de mon enfant sans impliquer le père s'il est indisponible ou refuse de participer à la déclaration ?,2863
17,Un litige de consommation avec une entreprise doit être résolu par le Service de médiation pour le consommateur. Qui est compétent pour traiter ce genre de litige selon le Code de Droit Economique en Belgique ?,1122
18,J'ai reçu une lettre d'avocat me demandant de payer des frais pour une médiation de consommation. Dois-je payer ces frais même si je fais appel au Service de médiation pour le consommateur ?,858
19,J'ai signé un bail étudiant qui n'a pas été enregistré. Puis-je mettre fin au bail sans préavis ni indemnité à Bruxelles en vertu de l'article statutaire précité ?,2507
20,Je suis locataire à Bruxelles et mon bail n'est pas enregistré. Puis-je résilier le bail sans préavis ni indemnité conformément à l'article donné ?,2507
21,Je loue un appartement à Bruxelles sans avoir enregistré mon bail. Puis-je résilier le bail sans préavis ni indemnité conformément à la loi en vigueur à Bruxelles ?,2519
22,"Je suis sur le point de déposer une demande au tribunal de la famille concernant un enfant dont la paternité n'est pas établie par les articles 315 ou 317, ni par reconnaissance. Est-ce que le jugement établissant la filiation devra être signifié à l'époux ou l'épouse du défendeur s'il est marié et que l'enfant a été conçu pendant le mariage par une autre personne ?",4813
23,J'ai acheté un produit défectueux en ligne et je souhaite résoudre le litige hors des tribunaux. Est-ce que le Service de médiation pour le consommateur peut traiter gratuitement ma demande de règlement extrajudiciaire de ce litige de consommation ?,5449
24,"Je suis sur le point de conclure une médiation pour régler un litige non patrimonial. Serait-il possible de transformer cet accord de médiation en un acte juridique contraignant, en dehors d'une transaction ?",6046
25,"Je suis impliqué dans un partage d'indivision avec d'autres parties. Puis-je demander un partage judiciaire si certains indivisaires ne sont pas d'accord pour un partage amiable, conformément à l'article 1206, alinéa 6 ?",5317
26,Un système de médiation est prévu pour régler les litiges de consommation en Belgique. Est-ce que je peux recevoir gratuitement une médiation pour résoudre un différend de consommation grâce au Service de médiation pour le consommateur ?,22446
27,Vous avez acheté un produit en Belgique qui s'est révélé défectueux. La médiation pour le consommateur peut-elle traiter votre litige gratuitement en tant que résident belge ?,19446
28,"Un médiateur a été saisi pour résoudre un litige de consommation en Belgique. Le médiateur a-t-il le pouvoir de contraindre une des parties à accepter un règlement extrajudiciaire, en cas de désaccord persistant ?",874
29,Un logement est frappé par une interdiction de location en raison de l'état du logement. Le bailleur doit-il obtenir une attestation de contrôle de conformité avant de pouvoir remettre en location ce logement en Wallonie ?,616
30,Un litige de consommation a éclaté concernant un achat en ligne. Puis-je demander une médiation gratuite par le Service de médiation pour le consommateur pour résoudre ce litige ?,22582
31,Je suis en litige avec une entreprise belge en tant que consommateur. Est-ce que je peux recourir au Service de médiation pour le consommateur gratuitement pour régler ce litige conformément à la loi ?,5157
32,"Une société européenne souhaite choisir son mode d'administration. Est-il obligatoire pour une société européenne d'opter pour un mode d'administration moniste ou dual, et de l'inscrire dans ses statuts ?",20880
33,Je suis en litige avec une entreprise pour un produit défectueux. Est-ce que le Service de médiation pour le consommateur peut traiter mon litige gratuitement ?,1639
34,Je suis impliqué dans un litige de consommation en Belgique. Le Service de médiation pour le consommateur peut-il traiter mon litige gratuitement ?,5570
35,"Un jugement d'expulsion a été rendu à votre encontre. 
Puis-je m'opposer à la communication du jugement au Centre public d'action sociale après le délai de deux jours prévu dans l'article ?",5572
36,Je suis témoin d'un litige de consommation. Est-ce que le Service de médiation pour le consommateur peut traiter ce litige gratuitement selon la loi en vigueur?,8877
37,Un médiateur de consommation a été saisi pour résoudre un litige. Le médiateur peut-il imposer une solution contraignante aux parties impliquées dans le litige ?,8950
38,Je veux contester une amende pénale que j'ai reçue. Est-ce que je peux saisir le Service de médiation pour le consommateur pour régler ce litige gratuitement ?,6115
39,J'ai acheté un produit défectueux en ligne. Dois-je payer des frais pour que le Service de médiation pour le consommateur traite mon litige de consommation ?,6117
40,Une entreprise belge refuse de résoudre un litige de consommation par la voie extrajudiciaire. Le service de médiation pour le consommateur peut-il contraindre l'entreprise à participer à ce processus gratuitement ?,13
41,Une entreprise refuse de résoudre un litige de consommation. Est-ce que le Service de médiation pour le consommateur peut traiter ce litige gratuitement selon l'article donné ?,14
42,J'ai un enfant né en Belgique et je suis étranger. Dois-je effectuer une démarche administrative auprès des autorités diplomatiques ou consulaires du pays de mes parents pour préserver la nationalité belge de mon enfant ?,18756
43,Une entreprise a refusé de rembourser un produit défectueux. Puis-je demander une médiation gratuite par le Service de médiation pour le consommateur pour régler ce litige de consommation en Belgique ?,18755
44,"Je suis un colocataire souhaitant sortir anticipativement du bail. Est-ce que je dois trouver un colocataire remplaçant avant de quitter le logement, selon l'article en question ?",881
45,J'ai reçu un préavis de deux mois pour mettre fin à mon bail de logement étudiant. Puis-je résilier le bail de manière anticipée avant l'échéance en invoquant des motifs légitimes ?,876
46,Une entreprise refuse de rembourser un litige de consommation en France. Le service de médiation pour le consommateur peut-il traiter ce litige sans frais pour le plaignant ?,10780
47,Vous envisagez de réaliser des travaux de construction sur un bâtiment existant. Est-ce que le montant de l'investissement pour ces travaux inclut les frais d'agence immobilière à payer à Bruxelles selon l'article statutaire donné ?,8504
48,Une entreprise et un consommateur ont un litige en Belgique. Est-ce que le Service de médiation pour le consommateur en Belgique peut traiter gratuitement ce litige selon le Code de Droit Economique?,89
49,Un parcours d'intégration est prévu pour les primo-arrivants en région de langue française. Le coût des activités organisées dans le cadre de ce parcours est-il supporté par les primo-arrivants ?,10152
50,"Je suis en train de divorcer pour cause de désunion irrémédiable. En cas de divorce par consentement mutuel, serai-je obligé de payer des frais pour le traitement de ma demande de règlement de divorce extrajudiciaire ?",16010
51,Je suis en train de rédiger un contrat commercial en tant qu'entrepreneur en Belgique. Quelles sont les compétences du Service de médiation pour le consommateur en ce qui concerne le règlement extrajudiciaire des litiges de consommation selon le Code de Droit Economique ?,1083
52,Un individu a été reconnu coupable au tribunal. Quels sont les deux acteurs qui peuvent demander l'exécution du jugement en question selon l'article cité ?,13494
53,Vous avez signé un contrat avec une entreprise pour la fourniture de services. Quelle est l'autorité compétente pour traiter un litige de consommation découlant de ce contrat ?,13496
54,Je viens d'avoir 18 ans et je réside en Belgique depuis plus de 5 ans. Puis-je introduire une demande de passeport belge selon la loi statutaire donnée ?,2914
55,J'ai acheté un produit défectueux en Belgique. La médiation pour les litiges de consommation peut-elle être utilisée pour résoudre ce litige sans frais ?,18774
56,Je suis cité en justice pour une affaire de consommation. Est-ce que le Service de médiation pour le consommateur doit traiter gratuitement mon litige ?,5136
57,Je reçois une convocation à comparaître devant un tribunal. Dois-je déposer une requête conjointe pour former opposition tierce si je suis le prêteur et que je ne suis pas une des parties initialement convoquées ?,5550
58,Une entreprise vous facture des frais pour une médiation de consommation. Est-ce légal de facturer des frais pour la médiation de consommation en Belgique?,4577
59,Je suis en litige avec une entreprise dans le cadre de droits des consommateurs. Est-ce que je dois payer des frais pour que le Service de médiation pour le consommateur traite mon litige extrajudiciaire ?,5897
60,Une personne a reçu un jugement d'expulsion et souhaite s'opposer à la communication de ce jugement au Centre public d'action sociale. Quel est le délai imparti pour exprimer cette opposition à l'huissier de justice selon l'article 1344decies ?,5572
61,Un locataire a reçu un jugement d'expulsion en Wallonie. Le juge peut-il accorder un délai supplémentaire pour l'expulsion en raison de circonstances exceptionnelles et graves ?,5570
62,J'ai été nommé subrogé tuteur par le juge de paix. Quand cessent mes fonctions en tant que subrogé tuteur ?,1318
63,"Je suis mineur et émancipé. Puis-je former une demande seul devant le tribunal ou dois-je être assisté de mon curateur pour cela, conformément à l'article donné ?",5920
64,"Je souhaite contester l'octroi d'un droit d'obtenteur pour une variété végétale. Est-ce que les motifs d'objection prévus dans l'article incluent le non-respect des conditions énoncées aux articles XI.106, XI.107, XI.108, XI.109 et XI.111 pour la variété en question ?",15055
65,Un tribunal belge cherche à établir la filiation d'un enfant. Quelles sont les conditions fixées par l'article 332quinquies pour établir la paternité lorsque ni la reconnaissance ni la comaternité ne sont établies ?,3074
66,Un couple non marié a un enfant ensemble. Dois-je obtenir une décision du tribunal de la famille pour établir légalement ma paternité dans cette situation ?,12026
67,"Un locataire doit quitter un logement ne respectant plus les normes de sécurité. Doit-on proposer un relogement au locataire expulsé par le bourgmestre en respectant des délais précis, selon l'article 7, § 5 de la loi ?",620
68,Je suis en conflit avec une entreprise belge concernant un achat en ligne. Puis-je utiliser le Service de médiation pour le consommateur gratuitement pour résoudre ce litige ?,2300
69,Mon conjoint est décédé. Ai-je le droit de me faire attribuer l'immeuble servant au logement de la famille en tant que conjoint survivant selon l'article donné ?,2229
70,Je cherche à régler un litige de consommation avec une entreprise en Belgique. Est-ce que le Service de médiation pour le consommateur peut traiter ma demande gratuitement ?,16077
71,Ma femme et moi vivons séparément depuis plus de 300 jours avec une ordonnance de résidence séparée. La présomption de paternité s'applique-t-elle à notre enfant né pendant cette période de séparation ?,1098
72,Une société de consommation belge et un client ont un litige non résolu. Peut le client utiliser le Service de médiation pour le consommateur sans frais pour régler ce litige ?,14
73,Je fais l'objet d'une enquête menée par l'administration. Est-ce que l'administration doit notifier les conclusions du rapport d'enquête au bourgmestre selon l'article donné ?,12023
74,Un consommateur engage une plainte de litige avec une entreprise belge Le service de médiation pour le consommateur en Belgique est-il compétent pour régler ce litige gratuitement ?,1023
75,Je suis un consommateur impliqué dans un litige. Est-ce que je peux demander une médiation gratuite par le Service de médiation pour le consommateur pour résoudre mon litige?,16001
76,Je suis le directeur d'une maison d'arrêt. Est-ce que je suis autorisé à déléguer la responsabilité de tenir le registre des détenus à un membre de mon personnel ?,13889
77,Une entreprise a violé mes droits en tant que consommateur et je souhaite entamer une médiation. Le Service de médiation pour le consommateur peut-il traiter mon litige gratuitement ?,19927
78,Un litige de consommation - un achat en ligne entre un consommateur et une entreprise belge - survient. Est-ce que le service de médiation pour le consommateur a compétence pour traiter ce litige sans frais ?,1448
79,"Un individu a déposé un objet chez moi sans mentionner un lieu précis pour la restitution. Dois-je rendre l'objet à l'endroit où il a été déposé si aucun lieu de restitution n'a été convenu, selon l'article statutaire mentionné ?",2660
80,Je suis une entreprise belge et un client dépose une plainte concernant un litige de consommation. Est-ce que je suis obligé de participer au règlement extrajudiciaire du litige de consommation proposé par le Service de médiation pour le consommateur gratuitement ?,893
81,Je désire voter aux élections communales en Belgique en tant qu'étranger résidant dans le pays depuis cinq ans. Suis-je éligible pour devenir électeur communal selon l'article donné ?,3170
82,Un litige de consommation est survenu entre moi et un commerçant. Est-ce que je peux faire appel au Service de médiation pour le consommateur pour régler ce litige sans frais ?,12747
83,Un litige de consommation a éclaté entre un consommateur et un commerçant en Belgique. Doit-on payer pour engager une médiation auprès du Service de médiation pour le consommateur dans ce cas?,5083
84,Je souhaite faire une réclamation liée à un litige de consommation en Belgique. Est-ce que le Service de médiation pour le consommateur est compétent pour traiter ma réclamation gratuitement ?,22446
85,Je déménage dans un nouvel appartement. Est-ce que je peux placer mon enfant mineur non émancipé sous ma tutelle dans ce nouvel appartement en tant que son domicile ?,979
86,Je lance une procédure de règlement extrajudiciaire pour un litige de consommation en Belgique. Le Service de Médiation pour le Consommateur peut-il traiter mon litige gratuitement ?,1137
87,Une entreprise locale a refusé un remboursement suite à un produit défectueux. La médiation pour le consommateur peut-elle contraindre l'entreprise à me rembourser gratuitement ?,1099
88,Un tribunal familial a fixé une contribution alimentaire. Est-il obligatoire de mentionner explicitement la possibilité de percevoir les revenus du débiteur dans le jugement relatif à la contribution alimentaire ?,5517
89,Un litige de consommation concerne l'achat d'un produit défectueux en ligne. Est-ce que le Service de médiation pour le consommateur peut traiter ce litige gratuitement ?,5516
90,Je suis en train de chercher un moyen de régler un litige de consommation en Belgique. Est-ce que le Service de médiation pour le consommateur peut intervenir gratuitement pour régler mon litige ?,1249
91,J'ai acheté un produit défectueux en Belgique. Puis-je demander une médiation gratuite en cas de litige avec le vendeur selon la loi sur le règlement extrajudiciaire des litiges de consommation en Belgique ?,16019
92,"J'ai acheté un bien loué à Bruxelles. Ai-je le droit d'expulser le locataire actuel si le bail dont il dispose est authentique ou a une date certaine, mais que je n'ai pas réservé ce droit dans le contrat de bail ?",2514
93,"Dans le cadre d'une médiation de conflit de consommation en Belgique, seules les entreprises belges sont concernées. La médiation pour les litiges de consommation est-elle obligatoire pour les entreprises belges en cas de conflit avec un consommateur ?",2522
94,Un individu a été déclaré incapable par une décision de justice. Peut cette personne protégée accomplir certains actes de manière non autonome avec une assistance ?,1362
95,Mon employeur refuse de payer les frais liés à l'introduction d'une procédure de règlement extrajudiciaire d'un litige de consommation. Est-il légal de demander à l'employé de payer pour entamer une procédure devant le Service de médiation pour le consommateur ?,13389
96,Je veux régler un litige de consommation via médiation. Est-ce que le Service de médiation pour le consommateur peut traiter mon litige gratuitement conformément au Code de Droit Economique?,1083
97,Une entreprise refuse de résoudre un litige de consommation. Est-ce que le Service de médiation pour le consommateur peut imposer une solution contraignante à l'entreprise en matière de litiges de consommation ?,16010
98,Je suis impliqué dans une procédure de règlement collectif de dettes. Dans quels cas puis-je être révoqué de cette procédure ?,5953
99,J'ai un litige de consommation à régler en dehors des tribunaux. Est-ce que le Service de médiation pour le consommateur peut traiter gratuitement ma demande de règlement extrajudiciaire de ce litige ?,5706
100,Je souhaite résoudre un litige de consommation par le biais du Service de médiation pour le consommateur en Belgique. Est-ce que le traitement de ma demande de règlement extrajudiciaire par ce service est gratuit selon le Code de Droit Economique ?,1144
101,Je souhaite régler un litige de consommation via le Service de médiation pour le consommateur. Est-ce que le traitement de ma demande par ce service sera gratuit ?,1173
102,Le paiement d'une lettre de change doit être effectué après un jour férié légal. Le samedi est-il considéré comme un jour férié légal pour le paiement d'une lettre de change ?,14674
103,Mon entreprise est en difficulté financière et mes biens ont été vendus suite à une requête de créanciers. Puis-je demander un délai de paiement pour mes dettes en cours selon la loi en vigueur ?,5546
104,Un couple non marié souhaite établir la filiation de leur enfant. Le jugement établissant la filiation doit-il être signifié aux deux parents dans ce cas ?,5482
105,Un mineur souhaite contester des décisions prises par son tuteur. Peut-il demander une intervention d'urgence en attendant la résolution du conflit ?,1321
106,Je souhaite bénéficier d'un hébergement temporaire dans une maison d'hébergement de type familial en raison de difficultés sociales. Cette maison d'hébergement est-elle autorisée à me fournir un logement temporaire en vertu de la loi statutaire applicable ?,10065
107,"Suite à une modification de leur statut, une association souhaite obtenir un agrément pour un abri de nuit. Doit-elle fournir une copie des statuts modifiés publiés au Moniteur belge lors de sa demande d'agrément?",10077
108,Je suis en discussion avec l'autre parent pour établir la filiation de notre enfant. Comment la filiation peut-elle être établie selon l'article 332quinquies en cas de non-mariage des parents en Belgique ?,7798
109,Vous envisagez d'acheter un produit en Belgique. Est-il obligatoire de recourir au Service de médiation pour le consommateur pour résoudre un éventuel litige lié à cet achat ?,10095
110,"Je suis en train de louer une maison en Belgique. Est-ce que le propriétaire doit fournir et installer des détecteurs d'incendie dans le logement que je loue, conformément à la loi en vigueur en Wallonie ?",12019
111,J'achète un produit en Belgique et je constate un défaut après plusieurs semaines. Dois-je contacter le médiateur pour le consommateur pour résoudre ce litige de consommation ?,21509
112,"Un projet de plan environnemental est soumis à une enquête publique à Bruxelles. Doit-on adresser les réclamations et observations uniquement à Bruxelles Environnement pendant le délai d'enquête ?

Statutory Law Article: Lorsque la paternité n'est pas établie, ni en vertu des articles 315 ou 317, ni par une reconnaissance, et que la comaternité visée au chapitre 2\/1 n'est pas non plus établie, elle peut l'être par un jugement prononcé par le tribunal de la famille, aux conditions fixées à l'article 332quinquies.",13
113,Un litige de consommation survient entre un consommateur et une entreprise en Belgique. Le Service de médiation pour le consommateur peut-il traiter gratuitement ce litige conformément au Code de Droit Economique ?,11971
114,Un entrepreneur a réalisé des travaux chez moi et a endommagé une partie de ma propriété. Suis-je légalement responsable des réparations suite aux dommages causés par l'entrepreneur ?,2224
115,"Mon ami a abîmé mon habitation. Selon l'article donné, qui est responsable des réparations, moi en tant que propriétaire ou mon ami en tant qu'occupant ?",1535
116,Mon conjoint possède des biens propres hérités de son ascendant. Ces biens sont-ils considérés comme propres en cas de dissolution du régime matrimonial ?,2242
117,Un prestataire établi en Belgique est couvert par une assurance équivalente dans un autre État membre. Doit-il souscrire une assurance responsabilité professionnelle supplémentaire pour les éléments non couverts ?,13958
118,Mon logement pourrait nécessiter des travaux pour assurer sa salubrité. Est-ce que la Société wallonne du Logement peut accorder une aide après la réalisation d'une enquête de salubrité sur mon logement ?,12075
119,Un problème de salubrité publique a été identifié dans une commune en Wallonie. Est-il possible pour la commune d'imposer l'installation d'un système d'épuration individuelle pour résoudre ce problème ?,16707
120,Vous envisagez de solliciter une aide de la Société wallonne du Logement en raison de problèmes de salubrité. La Société wallonne du Logement peut-elle accorder une aide sur la base du rapport de salubrité sans passer par les articles 61 à 63 mentionnés dans l'article statutaire ?,12075
121,"Un litige de consommation survient entre un consommateur et un commerçant en Belgique. Quel est l'organe compétent pour traiter ce litige hors du cadre judiciaire, conformément à l'article du Code de Droit Economique mentionné ?",11645
122,Vous avez besoin d'aide juridique mais vos revenus dépendent de la cohabitation avec d'autres personnes. Doit-on tenir compte des revenus des autres personnes avec lesquelles vous vivez pour déterminer votre admissibilité à l'aide juridique selon l'article donné ?,4512
123,Je suis confronté à un litige de consommation en tant que consommateur. Est-ce que le service de médiation pour le consommateur est gratuit pour régler ce litige ?,8103
124,Un différend de consommation survient entre moi et un commerçant. Le Service de médiation pour le consommateur peut-il intervenir pour résoudre ce litige gratuitement ?,5136
125,Je déménage dans une nouvelle province et j'ai des litiges de consommation à régler. Puis-je faire appel au Service de médiation pour le consommateur pour traiter mes litiges de consommation même si je viens d'emménager dans une nouvelle province ?,4841
126,Je suis belge et j'ai rédigé un testament. Mon testament sera-t-il considéré comme valide en Belgique en vertu de l'article statutaire mentionné ?,2869
127,Je souhaite déposer une plainte concernant un litige de consommation en Belgique. Est-ce que le Service de médiation pour le consommateur a compétence pour traiter ma plainte gratuitement ?,2328
128,Je recherche des informations sur les dettes communes dans un régime matrimonial. Est-ce que chaque époux est responsable des dettes communes même si son patrimoine propre aurait pu être saisi pour les régler lors du partage ?,2283
129,Les époux se sont séparés et souhaitent régler leurs dettes communes. Les créanciers peuvent-ils poursuivre le paiement des dettes contractées pour les besoins du ménage et l'éducation des enfants sur le patrimoine propre de l'époux qui n'avait pas contracté la dette?,2256
130,Je suis confronté à un litige de consommation en Belgique. Est-ce que je peux demander une médiation gratuite auprès du Service de médiation pour le consommateur pour régler ce litige ?,14782
131,J'ai pris la décision de soumettre un litige de consommation à la médiation. Est-ce que le Service de médiation pour le consommateur peut exiger des frais pour traiter mon litige de consommation ?,9503
132,J'envisage de me marier en France. Est-ce que le mariage peut avoir lieu par procuration en France selon la loi en vigueur?,16001
133,J'ai vécu en cohabitation légale avec mon partenaire en Belgique. Doit-on respecter des conditions spécifiques pour pouvoir faire une déclaration de cohabitation légale en Belgique ?,2328
134,J'ai une incapacité à accomplir certains actes de façon autonome. Ai-je le droit de bénéficier d'une assistance pour m'aider à accomplir ces actes en vertu de l'article statutaire mentionné ?,1362
135,Un enfant mineur est impliqué dans un litige de consommation. Est-ce que le Service de médiation pour le consommateur traite gratuitement les litiges impliquant des mineurs ?,5414
136,Un parent souhaite établir son lien de filiation avec son enfant. Quelles conditions doivent être remplies pour établir la filiation par un jugement du tribunal de la famille selon l'article 332quinquies ?,5973
137,Je suis sur le point de conclure un plan de règlement amiable avec mes créanciers. Le juge a-t-il le pouvoir d'imposer un plan de règlement judiciaire si aucun accord n'est trouvé dans le plan amiable ?,5954
138,Une entreprise de vente en ligne a refusé de rembourser un produit défectueux. Puis-je recourir au Service de médiation pour le consommateur pour résoudre ce litige sans frais ?,16030
139,Mon enfant a besoin d'une assistance financière de la part de son père. Est-ce que les juridictions belges ont compétence pour traiter une demande d'obligation alimentaire envers mon enfant indépendamment de notre situation matrimoniale ?,16027
140,"Un locataire souhaite quitter son logement avant la fin du bail de longue durée. Peut-il résilier le bail automatiquement à l'expiration du terme fixé, selon la loi ?",2507
141,Nous sommes en Belgique. Le bail de location peut-il être prolongé en cas de circonstances exceptionnelles à la fin du bail ?,870
142,Je suis victime d'une infraction. Je souhaite dénoncer le coupable. Est-ce que je peux parler directement au juge lors de l'enquête sur cette affaire ?,5107
143,"Dans une affaire de diffamation, une personne prétend que des propos tenus à son encontre sont mensongers et portent atteinte à sa réputation. Le tribunal peut-il accorder réparation si les propos diffamatoires ont été tenus publiquement et intentionnellement ?",5095
144,"Je recherche des informations sur la séparation de corps. Doit-il y avoir un accord entre les époux portant sur les mesures concernant la personne, les aliments et les biens des époux et des enfants dont ils ont la charge dans le cadre d'une séparation de corps ?",16010
145,"Vous envisagez de divorcer par consentement mutuel en Belgique. Est-il obligatoire de suivre les conditions fixées dans la quatrième partie, livre IV, chapitre XI, section 2 du Code judiciaire pour divorcer par consentement mutuel?",1083
146,J'ai une dispute avec une entreprise en matière de consommation. Est-ce que le Service de médiation pour le consommateur peut traiter ce litige sans frais ?,5516
147,Mon entreprise a un litige de consommation à résoudre. Est-il obligatoire de passer par le Service de médiation pour le consommateur pour régler ce litige ?,5517
148,Un médiateur de dettes est récusé pour manque d'impartialité. Qui peut désigner un nouveau médiateur de dettes suite à une récusation conformément à l'article 971 du Code de droit économique ?,5988
149,Un médiateur de dettes n'a pas répondu aux demandes. Puis-je obtenir des informations sur le statut de ma requête sans frais auprès du Service de médiation pour le consommateur ?,5668
150,Je suis mandaté pour gérer les fonds d'une personne protégée. Le juge de paix peut-il confier la gestion de ces fonds à une institution agréée par la Banque nationale de Belgique selon la loi du 22 mars 1993 ?,1401
151,Mon voisin refuse de payer sa pension alimentaire depuis des mois. Est-ce que je peux demander l'intervention du tribunal de la famille pour régler ce litige ?,1389
152,Je travaille dans le secteur de la consommation et j'ai un différend avec un client. Puis-je faire appel au Service de médiation pour le consommateur pour résoudre ce litige gratuitement ?,16010
153,J'ai reçu une invitation à participer à une médiation de consommation. Suis-je tenu(e) de participer à la médiation proposée gratuitement par le Service de médiation pour le consommateur ?,1083
154,Je suis condamné à une peine criminelle pour la deuxième fois. Puis-je être condamné à une peine double du maximum prévu par la loi pour le délit si je commets une nouvelle infraction ?,6137
155,Je travaille dans une entreprise qui traite des données confidentielles dans un fichier des avis. Quelle est la peine encourue si je consulte ce fichier sans autorisation en dehors des cas prévus par la loi ?,5662
156,Je veux changer la résidence d'une personne protégée pour des raisons personnelles. Ai-je le droit de procéder à ce changement sans l'approbation de l'administrateur des biens conformément à l'article mentionné ?,1407
157,Un litige de consommation survient entre un consommateur et un commerçant en Belgique. Le Service de médiation pour le consommateur peut-il traiter gratuitement cette situation ?,1405
158,"Lors d'une enquête judiciaire, le procureur du Roi donne des directives pour l'exécution des missions de police judiciaire. Le juge d'instruction peut-il annuler les directives du procureur du Roi concernant une enquête judiciaire ?",13216
159,Vous avez reçu une contravention et vous contestez la décision du tribunal de police. Est-ce que l’article 1er de l'annexe au présent code indique la procédure à suivre en cas de désaccord avec une décision du tribunal de police ?,3858
160,J'ai acheté un produit défectueux en ligne. Ai-je le droit d'engager une médiation gratuite avec le Service de médiation pour le consommateur pour résoudre ce litige de consommation ?,13307
161,Je suis accusé d'avoir commis un acte passible d'une peine correctionnelle. Dois-je m'attendre à être jugé pour un délit selon notre réglementation juridique en vigueur ?,6074
162,"Je suis en litige avec un commerçant belge concernant un achat en ligne. Est-ce que le Service de médiation pour le consommateur peut traiter mon litige gratuitement, conformément à l'article du Code de Droit Économique ?",5455
163,Un locataire souhaite mettre fin à son bail de location anticipativement. Est-il possible de résilier un bail de location avant sa date d'expiration en vertu du Code du logement ?,1084
164,Mon bail est situé à Bruxelles. Est-ce que mon loyer est automatiquement indexé à Bruxelles selon la loi en vigueur ?,843
165,"Vous envisagez de modifier le montant de votre loyer annuel à Bruxelles.
Dois-je respecter une fréquence spécifique pour ajuster mon loyer en fonction du coût de la vie, selon l'article donné ?",2496
166,Je suis en litige avec une entreprise en Belgique en tant que consommateur. Le Service de médiation pour le consommateur est-il compétent pour traiter mon litige gratuitement?,7748
167,Un prévenu a manqué le dépôt de conclusions dans un procès. Peut-on exclure automatiquement les conclusions non déposées dans une affaire si elles ne sont pas communiquées dans les délais fixés ?,13434
168,J'achète un produit en ligne et rencontre un différend avec le vendeur. Est-ce que le médiateur pour le consommateur peut traiter les litiges issus d'achats en ligne ?,1355
169,Je souhaite envoyer une plainte au Service général de l'inspection pour vérifier l'encadrement pédagogique de mon enfant scolarisé à domicile. Dois-je fournir les documents listés dans l'article pour que ma plainte soit traitée ?,11481
170,Je souhaite ouvrir une entreprise en Belgique avec mon partenaire. Pouvons-nous bénéficier gratuitement du Service de médiation pour le consommateur en cas de litige lié à notre activité commerciale ?,2267
171,"Après un achat en ligne, un litige de consommation survient avec une entreprise belge. Puis-je utiliser le service de médiation pour le consommateur pour résoudre ce litige sans frais supplémentaires ?",15169
172,J'assiste à une séance parlementaire confidentielle. Devrais-je révéler le contenu de cette séance en cas de contestation judiciaire ?,3223
