,synthetic_question,article_ids
25,Un individu a été condamné à une amende administrative. Quels sont les délais pour le paiement de cette amende et quels sont les montants possibles en cas de retard de paiement ?,3503
26,Des élections approchent dans la circonscription électorale et plus de candidats sont présents que de postes à pourvoir. Est-ce que le bureau principal doit immédiatement formuler le bulletin de vote conformément au modèle II dans cette situation ?,3036
27,Un salarié est souvent absent pour raisons de santé et le conseiller en prévention-médecin du travail souhaite obtenir des informations supplémentaires. Peut-il contacter le médecin traitant du travailleur pour recueillir des informations sur son état de santé avec son consentement ?,21064
28,"Un individu a été condamné à une peine de détention de 15 ans. Il occupe un poste public. Est-ce que la destitution de ses titres et fonctions publiques peut être prononcée en plus de sa peine de détention de 15 ans, en application de cet article de loi ?",6088
29,Le Gouvernement doit examiner un plan d'aménagement directeur suite à une enquête. Le Gouvernement peut-il adopter définitivement le plan d'aménagement directeur sans apporter de modifications après avoir pris connaissance des résultats de l'enquête et des avis émis ?,248
30,Un tribunal établit un règlement particulier pour organiser son fonctionnement. Un président de tribunal peut-il modifier l'attribution d'une affaire entre les divisions ou les juges après qu'un incident a été soulevé par une des parties avant tout autre moyen ?,3888
31,J'ai commis une infraction punissable par une peine de police en Belgique. Après combien de temps la peine de police se prescrira-t-elle selon la loi ?,6165
32,"Un projet de plan de secteur a été adopté il y a environ 12 mois. Est-ce que le Gouvernement a encore au moins 12 mois pour adopter définitivement le plan ou le refuser, selon l'article de loi en question ?",12619
33,J'ai reçu une avance sur une indemnité accordée par un jugement définitif. Est-ce que je dois rembourser la différence au Fonds s'il s'avère que l'avance est supérieure à l'indemnité allouée ?,16618
34,Je suis en train de planifier des travaux de construction pour un établissement médico-social en Belgique. Est-ce que le gouvernement peut garantir les créances relatives au financement de ces opérations selon l'article cité ?,10469
35,La loi du 29 mars 1962 organique de l'aménagement du territoire et de l'urbanisme a été abrogée dans la région de Bruxelles-Capitale. Est-ce que l'article 70 de ladite loi reste en vigueur dans la région de Bruxelles-Capitale ?,564
36,Deux propriétaires voisins ont des différends sur les limites de leurs propriétés. L'un des propriétaires refuse de participer au bornage. Est-ce que le juge peut désigner un expert pour mener à bien l'opération de bornage en cas de refus d'un des propriétaires de participer ?,7168
37,Un diffuseur de signaux et un câblo-distributeur doivent échanger des informations pour déterminer les redevances. Le Roi a-t-il le pouvoir de fixer les conditions d'échange d'informations entre ces entités en vertu de la loi en vigueur ?,15151
38,Un couple marié a entamé une procédure de divorce et l'un des époux a contracté une dette après le dépôt de la demande en divorce. Cette dette contractée par un des époux après la demande en divorce peut-elle être déclarée nulle si elle est prouvée être en fraude des droits du conjoint ?,5484
39,Un navire est en mer et fait face à une possible menace de piraterie. Est-ce que le capitaine du navire peut décider des actions à entreprendre dans le cadre de la lutte contre la piraterie sans consulter le dirigeant opérationnel des agents de sécurité maritime à bord ?,19102
40,Une entreprise souhaite s'implanter dans une zone d'activité économique mixte. Quels types d'activités sont autorisés dans une zone d'activité économique mixte selon la loi en vigueur ?,12550
41,Une entreprise a demandé un permis de construire. Est-ce que l'autorité doit rendre publique sa décision sur la nécessité d'une étude d'incidence pour le permis demandé dans les 15 jours suivant la réception de la demande ?,11688
42,Un individu est jugé pour un délit pour lequel il a déjà été condamné par le passé. Les règles de récidive s'appliqueront-elles dans ce cas ?,6139
43,Je suis nommé administrateur dans une ASBL communale en Belgique. Puis-je recevoir une rémunération ou des avantages en nature pour mon mandat au sein de cette association ?,18129
44,Je suis un éleveur et je possède des infrastructures de stockage d'effluents. Est-ce que le Ministre de l'Agriculture peut spécifier les exigences techniques pour assurer l'étanchéité de mes installations de stockage d'effluents d'élevage ?,16491
45,J'utilise un instrument de paiement pour des transactions inférieures à 30 euros et sans bloquage possible. Suis-je tenu de recevoir une notification en cas de refus de paiement pour ces opérations en vertu de la loi en vigueur ?,14340
46,Une entreprise d'assurance détient des parts dans un organisme de placement. Est-ce que ces montants sont inclus dans la base imposable pour la taxe sur les provisions mathématiques et techniques des contrats d'assurance-vie?,22375
47,"Je travaille comme gestionnaire du port en Belgique. Quelle est la définition donnée à ""sûreté maritime"" selon la loi en vigueur?",19155
48,Un agent contrôle une entreprise pour vérifier la conformité à diverses lois. Peut-il utiliser les informations recueillies lors du contrôle des dispositions du Livre IX pour ses missions de contrôle liées à d'autres législations ?,15419
49,Le Collège des cours et tribunaux est responsable du bon fonctionnement des tribunaux en Belgique. Le Collège peut-il émettre des directives contraignantes aux comités de direction des tribunaux pour assurer une administration judiciaire efficace ?,4011
50,"Deux époux demandent une séparation de biens judiciaire en Belgique. La séparation de biens prend-elle effet rétroactivement à partir du jour de la demande, tant entre les époux qu'à l'égard des tiers ?",2324
51,Une décision d'adoption a été rendue par le tribunal. Qui est autorisé à se pourvoir en cassation selon l'article donné de la loi statutaire?,5372
52,Un crime a été commis contre un officier de la force publique. Quelles peines sont prévues si l'auteur du crime est retrouvé coupable selon la loi en vigueur ?,6400
53,Un agent public a des problèmes de santé et risque d'être déclaré inapte. Peut-il être déclaré définitivement inapte pour maladie avant d'avoir épuisé ses congés conformément à l'article 405 ?,18577
54,Je suis sur le point de quitter la Belgique pour participer à une infraction pénale à l'étranger. Serai-je passible de peines de réclusion et d'une amende si je quitte le territoire belge dans ce but?,6249
55,Une loi concernant les intercommunales a été modifiée. Est-ce que l'article 28 de la loi sur les intercommunales est encore en vigueur ?,17407
56,Un employeur a acheté des équipements de protection individuelle (EPI) pour ses employés. Doit-il fournir un document confirmant le respect des obligations imposées par l'article IX.2-12 aux employés lors de la livraison des EPI ?,22156
57,"Une organisation sollicite des interventions financières en vertu de l'article 623. Doit-on inclure ces interventions financières au titre des récupérations de frais spécifiques selon les comptes 6010, 6011, 6012, 613, 616 et 644 conformément au plan comptable transmis ?",7883
58,La municipalité envisage d'approuver un projet de plan après une enquête publique. Doit-elle informer le Ministre des avis émis par la population et les commissions consultatives dans les 30 jours suivant la clôture de l'enquête publique ?,11808
59,"Lors d'un procès, un document important n'a pas été correctement transmis. Est-ce que le ministère public peut intervenir pour s'assurer de la bonne transmission des documents lors des procédures judiciaires ?",3951
60,"Un contrôleur de la navigation veut interroger un suspect dans le cadre d'une enquête. Les articles 28quinquies, §2 et 47bis du Code d'instruction criminelle s'appliquent-ils automatiquement lors de cette interrogation ou doivent-ils être appliqués par analogie ?",19679
61,"Une entreprise externalise certains travaux vers des travailleurs extérieurs en zone contrôlée. L'exploitant de la zone contrôlée doit-il garantir que les travailleurs extérieurs sont médicalement aptes avant leur intervention, selon la loi?",21789
62,Je dépose plainte auprès d'un médiateur. L'entreprise est située en Belgique. Dois-je payer pour déposer plainte devant le médiateur pour le consommateur ?,17559
63,Un individu a manipulé des données dans un système informatique dans le but de frauder. Peut-il être condamné à une peine de prison et à une amende s'il est reconnu coupable de cette infraction ?,6693
64,"Je suis âgé de 18 ans révolus et souhaite obtenir une licence de conducteur de train en Belgique. Est-il possible pour moi d'obtenir une licence de conducteur de train à mon âge, et si oui, cette licence serait-elle valable uniquement en Belgique ?",3419
65,Un centre de planning familial souhaite étendre ses activités au-delà de sa zone de soins initiale. Peut-il le faire sans concertation préalable avec les centres de planning familiaux situés dans les zones limitrophes ?,10222
66,"Un Belge rentre dans le Royaume sans ses documents d'identité belges. Peut-il être refusé l'entrée en raison du manque de carte d'identité, passeport ou titre de voyage belge ?",2905
67,Un locataire signe un contrat de location. Est-ce légal pour un locataire de renoncer à son droit à l'information en vertu de l'article 242 dans un contrat de location ?,867
68,"Un promoteur immobilier a déposé une demande de permis pour un projet de construction. Vous habitez à moins de 50 mètres du terrain concerné. Devez-vous recevoir un avis de la commune concernant la demande de permis et l'enquête publique par courrier postal ou par e-mail, si vous avez fourni une adresse électronique ?",13156
69,Un commerçant vend des denrées alimentaires en ne respectant pas un article spécifique de la loi sur la protection de la santé des consommateurs. Quelles sanctions pourraient être imposées à ce commerçant selon l'article 2.4.5.29 de la loi ?,19633
70,"Un avocat souhaite engager des poursuites judiciaires au nom de l'ordre dont il fait partie. Est-ce que le Conseil d'administration doit représenter l'ordre dans tous les actes judiciaires et extrajudiciaires, conformément à cet article ?",4462
71,Un bien est en usufruit avec un propriétaire distinct. L'usufruitier est-il responsable des grosses réparations sur le bien ou seul l'entretien est de sa charge ?,1535
72,Je souhaite contester la décision d'attribution d'un logement par une commune. Dois-je saisir le Collège des bourgmestres et échevins si l'opérateur immobilier public dépend de la commune en question?,641
73,Une entreprise a reçu un chèque endossable pour un paiement. Est-ce que l'entreprise doit vérifier la signature des personnes ayant endossé le chèque avant de le payer pour être valablement libérée de sa dette ?,14735
74,Un agent accueille un enfant mineur dans sa famille dans le cadre d'une adoption. Est-ce que ce même agent peut prendre un congé d'adoption fractionné par semaine et pris dans les quatre mois suivant l'accueil de l'enfant dans sa famille ?,18560
75,Je suis intéressé par la protection du patrimoine immobilier en Région. Les actes et travaux sur un bien inscrit à l'inventaire du patrimoine immobilier nécessitent-ils systématiquement l'avis préalable de la Commission royale des monuments et des sites ?,429
76,Un employeur effectue des travaux de construction en Belgique. Quelles sont les conséquences pour un employeur qui omet de notifier le ministère de l'Emploi avant de bénéficier de dérogations aux lois sur la durée du travail dans le cadre des travaux de construction ?,7030
77,Une personne se présente devant un tribunal mais ne comprend pas la langue utilisée. Devra-t-elle payer les frais de l'interprète si elle ne comprend pas la langue utilisée devant le bureau de première instance ou d'appel ?,4775
78,Des nouvelles mesures ont été prises en vertu du présent Chapitre. Le gouvernement doit-il rendre des comptes au Parlement concernant la mise en œuvre de ces dispositions avant la fin de l'année scolaire 2022-2023 ?,11399
79,"Le gouvernement actuel a déposé plusieurs motions de confiance qui ont été rejetées par la Chambre des représentants. Est-ce que le Roi a le droit de dissoudre la Chambre des représentants dans ce cas, conformément à l'article donné ?",22481
80,Un individu a acheté un bien immobilier avec un pacte de rachat. Peut-il exercer les mêmes droits que le vendeur initial contre les autres parties concernées ?,2426
81,[context]Je suis un médecin travaillant dans un service résidentiel pour adultes handicapés. [question]Ai-je le droit de facturer des prestations à l'Institut National Maladie Invalidité pour les bénéficiaires du service résidentiel ?,8749
82,Différentes parties sont impliquées dans une négociation au sein d'un comité. Qui est autorisé à initier la négociation au sein du comité selon l'article de loi donné ?,11452
83,Un couple souhaite adopter un enfant d'un autre pays. Les dispositions de la section 2 s'appliquent-elles à l'établissement de cette adoption internationale ?,5389
84,Une partie conteste la compétence du juge saisi dans une affaire civile. Est-ce que le demandeur peut demander le renvoi de l'affaire devant le tribunal d'arrondissement pour qu'il statue sur la question de compétence avant la clôture des débats ?,4725
85,Une fédération des maisons arc-en-ciel ne remplit plus les conditions de reconnaissance. Doit-il y avoir un avertissement formel avant le retrait de reconnaissance par le Ministre conformément à l'article 694/14 du Code décrétal ?,9823
86,Un nouvel chapitre de loi a été mis en place pour régir les obligations financières des entreprises envers les consommateurs. Qui est responsable de définir les détails et les règles d'application de ce chapitre de loi spécifique ?,517
87,Un individu a été surpris en train de vendre des objets en or portant de faux timbres. Est-ce que la vente volontaire d'articles en or avec des timbres contrefaits est punissable par la loi ?,6291
88,Un jugement a été rendu contre vous et vous souhaitez faire appel. Combien de temps avez-vous pour former un appel après la notification du jugement?,4773
89,"Un laboratoire effectue des expériences sur des animaux. Doit-il faire appel à un médecin-vétérinaire compétent en médecine des animaux de laboratoire lorsqu'il utilise des chevaux, des chiens, des chats, des porcs, des ruminants ou des primates non humains ?",12385
90,Un comice agricole souhaite bénéficier d'une subvention gouvernementale en Belgique. Est-ce que le taux de subside alloué ne peut dépasser le coût de gestion du comice agricole selon l'article D.11 à D.14 ?,11290
91,Une affaire est portée devant la cour d'appel. Est-ce que le procureur général peut déléguer ses fonctions à un magistrat délégué en son absence à la cour d'appel ?,13675
92,Un organisme gouvernemental a compilé des documents sensibles pour une enquête. Le Comité peut-il accéder librement à ces documents compilés pour mener à bien ses fonctions de surveillance ?,22158
93,Un débiteur a été assigné en justice pour non-paiement de dettes. Le juge délégué est impliqué dans l'affaire. Le juge délégué a-t-il l'autorité pour prendre des mesures en cas de non-respect de la loi par le débiteur ?,15753
94,"Un individu a reçu une amende d'un agent compétent selon l'article XV.60/4. Une fois que j'ai payé l'amende, l'action de l'agent compétent prend-elle fin immédiatement ?",15487
95,"Un plaignant souhaite prolonger le délai pour déposer une requête. Le juge a-t-il le pouvoir de proroger les délais établis dans la loi, sauf ceux établis à peine de déchéance, et pour quels motifs la prorogation peut-elle être accordée selon l'article donné ?",3845
96,Je souhaite obtenir des informations sur un droit d'obtenteur pour une variété végétale. Ai-je le droit de consulter les pièces relatives à une demande de droit d'obtenteur pour une variété végétale spécifique en Belgique ?,15069
97,Un commandant de navire est sur le point de partir en mer. Est-il légalement autorisé à partir sans avoir les provisions de nourriture adéquates pour les personnes à bord ?,19136
98,Une personne a été déclarée incapable de demander l'annulation de son mariage. Peut-elle tout de même demander au juge de paix d'introduire une action pour annuler le mariage ?,1036
99,"Une commune envisage de modifier son plan de développement communal. Est-ce que le conseil communal peut décider que la modification du plan communal ne nécessite pas de rapport sur les incidences environnementales, sous certaines conditions spécifiques ?",260
100,Un individu a été accusé d'avoir enfreint l'article 2.4.5.12. Quelle sanction peut-il encourir pour avoir violé cet article ?,19617
101,Il y a des soupçons d'obtention frauduleuse d'assistance. Est-il possible d'obtenir une condamnation pénale pour avoir bénéficié d'une assistance en utilisant des informations fausses de manière intentionnelle ?,4784
102,Un nouvel usager arrive dans un service de santé mentale en Belgique. Doit-on obligatoirement informer cet usager sur le fonctionnement du service et le coût des prestations lors de sa première rencontre ?,10664
103,Les Centres d'opérationnalisation en médecine préventive peuvent se voir confier des missions spécifiques supplémentaires. Est-ce que le Gouvernement a le pouvoir de reconnaître ces missions supplémentaires aux Centres d'opérationnalisation en médecine préventive ?,10439
104,"Une plate-forme a décidé de s'affilier à une fédération. La subvention complémentaire est-elle versée en une seule fois aux plates-formes affiliées à une fédération, conformément à l'article 12/1 de la loi mentionnée ?",9484
105,"Un parti politique veut garantir l'utilisation d'un numéro d'ordre commun sur les bulletins de vote aux élections. Peut-il déposer une proposition d'affiliation pour ce faire auprès du Gouvernement, même s'il n'est pas représenté au Parlement wallon ?",17928
106,"Plusieurs partis politiques présentent des listes pour une élection locale. Est-ce qu'un candidat est autorisé à figurer sur plus d'une liste pour la même élection, selon la loi en vigueur ?",3211
107,"Une école ne respecte pas les dispositions d'un contrat d'objectifs fixé par le directeur de zone. Est-ce que le Gouvernement peut décider de réduire les dotations de fonctionnement de l'école en cas de non-respect du contrat d'objectifs, et y a-t-il un processus à suivre avant une telle décision?",11387
108,"Une société émet des obligations et convoque une assemblée générale des obligataires. Doit-elle publier l'ordre du jour de l'assemblée dans le Moniteur belge et dans un organe de presse de diffusion nationale au moins quinze jours avant la réunion, conformément à la loi ?",20181
109,Un travailleur souhaite demander une consultation spontanée au conseiller en prévention-médecin du travail. Est-ce que l'employeur doit être informé dès que le conseiller en prévention-médecin du travail reçoit la demande de consultation spontanée de la part du travailleur ?,21079
110,Une entreprise a été surprise en train de déverser illégalement des eaux usées dans les égouts publics. Est-ce que cette entreprise risque une infraction de deuxième catégorie selon la loi en vigueur ?,16913
111,Une personne souffrant de troubles psychiatriques nécessite une intervention immédiate dans son environnement habituel. La présence d'un médecin psychiatre est-elle obligatoire pour que la cellule mobile d'intervention puisse agir ?,8275
112,Un gouvernement doit préparer son budget annuel. Doit-il suivre un format spécifique lors de la présentation du compte d'exécution du budget conformément à la législation en vigueur ?,9530
113,Un citoyen de la Communauté germanophone conteste une mesure prise par la Commune. Peut-il demander la suppression de la mesure par le tribunal de première instance par voie de référé ?,13103
114,Une partie refuse de fournir un document demandé par le tribunal. Peut-on demander des dommages-intérêts à la partie qui refuse de produire un document requis par le juge ?,4973
115,"Un propriétaire souhaite classer un bâtiment historique. Peut le Gouvernement adopter directement un arrêté de classement sans ouvrir la procédure de classement prévue à l'article 223, si la demande émane soit du propriétaire seul, soit de tous les propriétaires en cas de copropriété/démembrement ?",448
116,"Le gouvernement envisage d'instaurer un système de compensation des redevances d'utilisation de l'infrastructure ferroviaire. Le système de compensation concernera-t-il uniquement les coûts liés aux accidents, ou également les coûts environnementaux et d'infrastructure non couverts dans les modes de transport concurrents ?",3342
117,"Une école est auditée pour évaluer sa performance. Les résultats de l'audit doivent-ils être communiqués uniquement aux dirigeants de l'école, ou aussi à d'autres parties concernées ?",8252
118,Un distributeur d'eau doit respecter certaines obligations financières envers la S.P.G.E. Le distributeur est-il tenu de fournir un compte-rendu financier annuel à la S.P.G.E. et dans quel délai doit-il le faire selon l'article fourni ?,16625
119,"Un agent en activité de service demande une dispense pour subir un examen médical. Est-il autorisé à obtenir une dispense pour passer des examens de dépistage du cancer, du glaucome, du diabète, du sida, des maladies cardio-vasculaires et de l'ostéoporose pendant son service en cours ?",18595
120,Une entreprise est en difficulté financière. Est-ce que la chambre des entreprises en difficulté peut communiquer le dossier au procureur du Roi si elle estime que l'entreprise remplit les conditions d'une faillite ?,15738
121,Une entreprise envisage de mettre en place un comité d'entreprise européen. Qui est compétent pour statuer sur les demandes associées à cette mise en place conforme à la loi belge ?,4631
122,Une autorité publique a pris une décision qui semble enfreindre la loi. Est-ce que le Gouvernement a le pouvoir d'annuler cette décision en tout ou en partie ?,17632
123,Une entreprise a augmenté son capital suite à une conversion d'obligations en actions. Est-il obligatoire d'établir un acte authentique pour constater cette augmentation de capital et la création de nouvelles actions ?,20546
124,Une affaire impliquant des parties de différentes nationalités est présentée devant le tribunal compétent. Le tribunal doit-il vérifier d'office sa compétence internationale dans ce cas ?,15964
125,Un nouvel arrêté royal a été proposé pour régler l'administration forestière en Belgique. Qui a le pouvoir de nommer les agents et préposés de l'administration forestière en vertu de cette loi ?,3533
126,Un agent du gouvernement exerce des prestations réduites pour des raisons sociales en vertu de l'arrêté en vigueur. Ces agents seront-ils soumis aux nouvelles dispositions une fois la période d'absence en cours terminée ?,18670
127,"Dans une chambre d'arrondissement des huissiers de justice en Belgique, des élections doivent avoir lieu. Est-ce que les membres du conseil de la chambre d'arrondissement doivent obligatoirement être huissiers de justice ou peuvent-ils être élus parmi tous les membres de l'assemblée générale ?",4557
128,Une organisation souhaite mettre en place des services de logement supervisés. Ces services peuvent-ils être situés sur le même site que les services de logement résidentiel existants selon la loi ?,8679
129,Je suis un employeur devant monter un échafaudage sur un chantier. Dois-je obligatoirement faire établir un plan de montage par une personne compétente avant de commencer les travaux ?,21657
130,Un établissement pour animaux d'expérience doit fournir un personnel formé pour assurer le bien-être des animaux. Est-il obligatoire pour chaque établissement de disposer d'au moins une personne responsable de la surveillance du bien-être des animaux et des soins qui leur sont donnés sur place ?,12375
131,Un permis d'urbanisation a été accordé il y a cinq ans. Le titulaire n'a pas encore exécuté les actes ou travaux imposés. Est-ce que ce permis d'urbanisation est désormais périmé en vertu de la loi?,12861
132,Une wateringue en Belgique envisage de conclure un contrat pour l'écoulement des eaux. Est-ce que cette wateringue doit obtenir l'approbation du Collège provincial pour ce contrat selon la loi statutaire donnée ?,16262
133,Je souhaite acheter un bien qui est soumis au droit de préemption. Aucun des titulaires n'a exercé leur droit dans le délai légal. Puis-je procéder à l'achat du bien immédiatement après que le cédant en a été informé par l'administration selon l'article mentionné ?,504
134,Une enquête est en cours sur une question particulière. Les avis ou communiqués sur cette enquête doivent-ils être publiés ou diffusés dans les huit jours précédant le début de l'enquête?,13151
135,Vous êtes impliqué dans une affaire judiciaire impliquant des témoins. Le Roi a-t-il le pouvoir de déterminer les conditions de restitution des provisions prévues à l'article 953 et les modalités de paiement de la taxe des témoins en Belgique ?,5046
136,Une vente aux enchères a eu lieu et j'ai remporté un bien. Suis-je obligé de fournir des cautions immédiatement après la vente pour confirmer mon adjudication?,3577
137,Les président du bureau de dépouillement doivent remettre les documents au président du bureau communal ou de canton pour vérification. Le président consulté doit-il apposer son paraphe sur le tableau s'il constate sa régularité ?,17992
138,"Un comité d'accompagnement a été mis en place pour superviser un projet. Est-ce que le règlement d'ordre intérieur du comité doit être établi lors de la première réunion, et quelles informations doit-il contenir obligatoirement ?",11742
139,"Un individu a diffusé des substances inoffensives, mais qui semblent dangereuses, pouvant causer des craintes d'attentat. Est-il punissable pénalement selon l'article mentionné si ces substances ne présentent pas de danger réel mais induisent en erreur sur leur danger potentiel ?",6445
140,J'ai soumis une demande de reconnaissance à l'administration wallonne. Dois-je envoyer ma demande par courrier recommandé ou puis-je utiliser un procédé électronique de recommandé pour prouver mon envoi et mon identité ?,9732
141,Un agriculteur souhaite demander une aide financière mais veut d'abord se renseigner sur les exigences réglementaires. Est-il obligatoire pour l'organisme payeur de lui fournir chaque année une notice explicative sur les exigences réglementaires liées à sa demande d'aide unique ?,10904
142,Je suis un agent des administrations de l'État en Belgique. Est-ce que l'arrêté royal relatif au statut administratif et pécuniaire de certains agents des administrations de l'État a été modifié par des arrêtés royaux et un arrêté de l'Exécutif de la Communauté française ?,9624
143,Une entreprise a demandé à un commissionnaire de transporter ses marchandises. Est-ce que l'entreprise est responsable des actions du commissionnaire pendant le transport des marchandises ?,14887
144,Un demandeur de certification se voit refuser la certification. Est-ce que le demandeur doit introduire son recours auprès du Ministre dans un délai de vingt jours après la réception de la décision de refus pour que celui-ci soit recevable ?,16746
145,Une personne est décédée en Belgique. Est-ce que la succession de la personne défunte s'ouvre automatiquement dès son décès ?,1643
146,Un époux a exercé une profession interdite en accumulant des dettes. Les dettes contractées par un époux pour avoir exercé une profession interdite peuvent-elles être poursuivies sur le patrimoine commun sans considération du profit tiré de cette activité ?,2253
147,"Un tribunal de première instance néerlandophone est impliqué dans la surveillance des tribunaux de police dans certaines circonstances. Le tribunal de première instance francophone est-il également impliqué dans la surveillance des tribunaux de police dans la même région, et comment cela est décidé en cas d'absence de consensus ?",4339
148,Un gouvernement régional envisage d'acquérir ou de louer un bâtiment pour une utilisation publique. Doit-il s'assurer que le bâtiment répond à des exigences spécifiques en matière d'efficacité énergétique selon la loi en vigueur?,200
149,Une municipalité prépare un schéma de développement communal pour orienter son aménagement territorial. Peut-on intégrer des mesures de gestion et de programmation dans le schéma de développement communal selon l'article donné?,12512
150,Un jugement a été rendu par le tribunal. Le jugement notifié aux parties est-il sujet à une procédure d'opposition selon cette loi ?,5935
151,"Une entreprise utilise une dénomination enregistrée pour des produits similaires mais non couverts par l'enregistrement. Est-il légal pour cette entreprise d'utiliser la dénomination enregistrée pour ces produits non couverts par l'enregistrement, même s'ils sont comparables à ceux enregistrés sous cette dénomination ?",14298
152,Une évaluation de sécurité du port a été réalisée par l'Autorité Nationale de Sûreté Maritime. Le ministre peut-il décider de retirer des certificats de sûreté portuaire suite à cette évaluation ?,19173
153,Un établissement souhaite transformer des places de centre d'accueil de jour en places de centre de soins de jours. Quels critères doivent être respectés pour que cette transformation soit recevable selon l'article de loi donné ?,9241
154,Une entreprise en Belgique est en faillite. Quel est l'objectif principal de la procédure de faillite selon la loi belge ?,15808
155,Je dispose d'une ouverture de crédit. Suis-je légalement en droit de demander un relevé de compte détaillé pour chaque période de mon crédit en Belgique ?,14433
156,Une entreprise souhaite mettre en place un nouveau plan comptable. Est-ce que l'approbation du plan comptable selon l'annexe 44 est obligatoire pour toutes les entreprises en Belgique ?,7682
157,Un agent de l'État demande un traitement d'attente en attendant sa pension de retraite. Est-ce que les services militaires effectués avant son entrée en fonction seront pris en considération pour le calcul de son traitement d'attente?,18603
