,synthetic_question,article_ids
57,Un artiste décède et laisse derrière lui une oeuvre d'art. Combien de temps les héritiers peuvent-ils profiter du droit d'auteur sur cette oeuvre avant qu'il n'expire ?,15082
58,Un individu a signé en tant que caution pour un prêt. Peut-on considérer que l'engagement de la caution est éteint après trois ans sans aucune demande ou poursuite judiciaire pendant cette période ?,14693
59,"Un individu étranger réside en Belgique depuis l'âge de 15 ans. Est-il automatiquement reconnu comme citoyen belge lorsqu'il atteint l'âge de 18 ans, en vertu de l'article 8 du Code de la nationalité belge ?",18775
60,Je conteste une décision administrative défavorable. À quel moment dois-je introduire un recours après avoir reçu la notification de la décision contestée auprès de la Commission d'avis sur les recours ?,9927
61,"Un individu souhaite contester une décision administrative en Belgique. Qui doit être informé de la décision de la notification du recours, selon l'article D.20-9 de la loi statutaire?",11682
62,Je suis une personne ayant reçu une décision en lien avec le Code mentionné. Comment puis-je contester la décision prise en vertu du Code et être entendu par l'organisme payeur ou l'Administration désignée par le Gouvernement ?,10889
63,Je viens de recevoir une décision défavorable sur une affaire judiciaire. Quel est le délai pour demander le transfert du dossier de ma procédure à une instance supérieure suite à cette décision ?,4810
64,Vous avez reçu une notification d'une décision administrative concernant votre demande de permis de travail en Belgique. Disposez-vous de 30 jours à compter de la notification pour introduire un recours devant le Gouvernement contre cette décision ?,11988
65,Je souhaite divorcer d'une décision de séparation de corps rendue en Belgique. Les juridictions belges sont-elles compétentes pour traiter ma demande de conversion en divorce de cette décision ?,15997
66,"Un magistrat a reçu la mention ""insuffisant"" dans son évaluation. Peut-il faire un recours devant une commission de recours contre cette mention, et si oui, dans quel délai doit-il le faire ?",4111
67,Je conteste une décision administrative en matière d'action sociale. Est-ce que la Commission d'avis sur les recours peut assister le Gouvernement pour donner son avis sur ma contestation ?,9923
68,"Je suis né et j'ai grandi en Belgique, mais je ne suis pas citoyen belge. Puis-je demander le statut d'apatride devant le tribunal de la famille de mon lieu de résidence en Belgique ?",4707
69,Un individu souhaite contester une décision concernant sa nationalité. Est-ce que la cour d'appel a compétence pour traiter les actions en déchéance de la nationalité en Belgique ?,4668
70,Une personne morale a conclu un bail principal pour un accompagnement social. Doit-elle céder le bail au sous-locataire si les objectifs d'accompagnement social ont été atteints avant la troisième année du bail ?,886
71,Je suis bailleur et je souhaite récupérer mon bien loué pour y faire habiter mon enfant. Puis-je résilier le bail avec mon locataire en donnant un préavis de six mois afin d'occuper le bien personnellement ou de le faire occuper par mon descendant selon l'article 1er du Code wallon du logement et de l'habitat durable ?,856
72,Je suis le propriétaire d'un bien loué en Wallonie pour une durée de 5 ans. Le locataire s'est engagé à réaliser des travaux de rénovation dans le bien loué. Ai-je le droit de demander une contrepartie au locataire en échange des travaux de rénovation qu'il doit effectuer ?,840
73,"J'ai trouvé un logement adapté à ma nouvelle situation familiale, mais le loyer est plus élevé que celui de mon logement actuel suradapté. Puis-je refuser ce nouveau logement sans conséquences sur mon bail actuel ?",750
74,Je suis sur le point de louer un nouvel appartement en Wallonie. Est-ce que cette loi régit les conditions et critères d'accès au logement en Wallonie ?,810
75,Je suis locataire d'un logement social en Wallonie depuis 2015. Est-ce que mon bail de neuf ans pourra être prolongé automatiquement pour une période de trois ans si mes revenus restent inférieurs à 150 % des revenus d'admission durant les deux dernières années ?,752
76,"Un locataire a abandonné son logement de manière soudaine et sans payer les loyers. Est-ce que le locataire est obligé de continuer à payer le loyer jusqu'à ce que le logement soit reloué, même s'il a rompu le bail par sa faute ?",2534
77,Mon bailleur et moi avons signé un bail écrit pour une durée de 3 ans qui vient de se terminer. Je suis toujours dans les lieux mais le bailleur n'a pas réagi. Est-ce que mon bail est automatiquement reconduit aux mêmes conditions après l'expiration du bail de 3 ans ?,2508
78,Une personne est sur une liste d'attente pour un logement public en Wallonie. Est-ce que l'opérateur immobilier public est tenu d'informer les demandeurs de la disponibilité d'un logement et des modalités d'attribution conformément à l'article 29 ?,639
79,Vous venez de signer un contrat de bail pour un appartement loué. Le bailleur est-il responsable des réparations nécessaires pour maintenir le bien loué en conformité avec les normes de sécurité et de salubrité pendant toute la durée du bail ?,837
80,Je suis un médiateur de dettes intervenant dans une procédure de règlement collectif de dettes. Quelles informations dois-je transmettre au fichier des avis dans les trois jours ouvrables suivant certaines dates spécifiques mentionnées dans la décision ?,5669
81,"Maître en droit, je cherche à obtenir des informations sur le suivi d'une procédure de règlement collectif de dettes en Belgique. Est-ce que le registre central des règlements collectifs de dettes enregistre de manière authentique toutes les pièces et données relatives à une procédure de règlement collectif de dettes ?",5991
82,Je suis une personne physique qui s'est constituée sûreté personnelle du requérant en règlement collectif de dettes. Est-il possible pour moi d'être déchargé en tout ou en partie de mon engagement si le juge constate que mon obligation est disproportionnée à mes revenus et mon patrimoine selon la loi citée ?,5985
83,Je suis en situation d'insolvabilité temporaire et je n'ai jamais été commerçant. Puis-je demander un règlement collectif de dettes devant le juge pour m'aider à rembourser mes dettes actuelles et futures ?,5953
84,J'ai pris des mesures pour régler mes dettes et suis en procédure de règlement collectif de dettes. Puis-je refuser de fournir des informations sur mes opérations financières au médiateur de dettes s'il me les demande ?,5964
85,Je me porte garant d'une personne en règlement collectif de dettes. Est-ce que je peux demander à être déchargé partiellement ou en totalité de mon engagement si mon obligation est disproportionnée à mes revenus et mon patrimoine ?,5984
86,Vous êtes membre d'un groupe de consommateurs lésés. Pouvez-vous choisir de ne pas faire partie du groupe lors d'une action en réparation collective selon l'article du livre XVII en question ?,13944
87,Je suis confronté à des difficultés financières et souhaite obtenir de l'aide pour rembourser mes dettes. Quelles informations doivent être incluses dans ma demande de règlement collectif de dettes selon la loi en vigueur en Belgique ?,5955
88,Je suis médiateur de dettes chargé d'une procédure de règlement amiable ou judiciaire. Puis-je demander aux tiers soumis au secret professionnel de fournir des renseignements sur la situation patrimoniale du débiteur lors de cette procédure ?,5963
89,Je suis un créancier cherchant des informations sur un débiteur potentiel. Puis-je consulter le fichier des avis pour vérifier si une saisie ou un règlement collectif de dettes est en cours pour ce débiteur ?,5647
90,J'assiste à une manifestation publique où des discours haineux sont proférés. Est-ce punissable de promouvoir la discrimination envers un groupe en raison de critères protégés dans de telles circonstances ?,820
91,Vous êtes employé dans une entreprise en Belgique. Êtes-vous punissable si votre employeur ne met pas en place des mesures de prévention adaptées pour prévenir les risques psychosociaux au travail selon la loi du 4 août 1996 ?,6982
92,Je suis un entrepreneur et j'ai embauché des travailleurs intérimaires pour effectuer des travaux dans mon établissement. Quelles sanctions pourraient être appliquées si l'un de mes sous-traitants a enfreint l'article 10 de la loi du 4 août 1996 sur le bien-être des travailleurs?,6996
93,"Je suis chargé de l'exécution d'un chantier mobile ou temporaire en Belgique. Est-ce que je peux être sanctionné si je n'exerce pas une surveillance suffisante sur les obligations de sécurité et de santé des coordinateurs pendant la réalisation de l'ouvrage, selon la loi du 4 août 1996 ?",6998
94,"Vous êtes un employeur en Belgique. Êtes-vous passible d'une sanction de niveau 3 si vous ne mettez pas à disposition des espaces de travail exempts de fumée de tabac pour vos travailleurs, en violation de la loi du 22 décembre 2009 ?",7000
95,Je travaille dans un environnement où le bruit est présent. Suis-je couvert par les dispositions de l'article mentionné en cas d'exposition au bruit pendant mon travail ?,21684
96,Je suis un employeur en Belgique et mes employés sont exposés au bruit pendant leur travail. Quels sont les principes généraux de prévention à appliquer pour réduire les risques liés à l'exposition au bruit selon la loi en vigueur ?,21696
97,"Je suis employé dans une entreprise où des agents cancérigènes, mutagènes ou reprotoxiques sont utilisés. Quelles mesures l'employeur doit-il prendre pour limiter l'exposition des travailleurs à ces agents sur le lieu de travail en vertu de cet article de loi ?",21926
98,"Je suis un entrepreneur réalisant des travaux en sous-traitance sur un chantier. Suis-je passible d'une sanction de niveau 3 si un de mes préposés commet une infraction à l'article 9, § 2 de la loi-programme du 10 août 2015 concernant l'enregistrement sur les lieux de travail ?",7006
99,Je suis témoin d'un crime violent en Belgique. Quelles peines sont prévues par la loi pour les infractions graves commises en Belgique en cas de témoignage de crime violent ?,6237
100,Je suis un employeur ayant des contestations relatives aux obligations de sécurité sociale envers mes travailleurs. Puis-je porter ces contestations devant le tribunal du travail?,4613
101,Je travaille en Belgique et ai des problèmes avec mon employeur concernant mes cotisations de sécurité sociale. Est-ce que le tribunal du travail peut traiter les litiges relatifs aux obligations des employeurs pour le paiement des cotisations de sécurité sociale selon l'article donné ?,4615
102,Mon employeur refuse de payer mes cotisations à l'assurance maladie. Puis-je porter cette contestation devant le tribunal du travail ?,4614
103,J'ai reçu un acte juridique administratif concernant mon assurance protection sociale en Wallonie. Combien de temps ai-je pour soumettre cet acte au tribunal du travail compétent ?,9964
104,Un employeur conteste les obligations de paiement des cotisations sociales auprès d'un organe juridique approprié. Le Tribunal du Travail peut-il entendre des litiges concernant les droits et obligations des travailleurs salariés et des apprentis en Belgique ?,4612
105,Je suis un travailleur salarié belge et j'ai des contestations avec mon employeur concernant mes prestations familiales. Puis-je porter ces contestations devant le tribunal du travail ?,4616
106,"Vous avez formulé un recours contre une décision prise par une autorité publique. Qui doit être informé une fois que la décision sur le recours a été rendue, selon l'article mentionné ?",11682
107,Un consommateur belge souhaite contester une décision de justice concernant une affaire de consommation. Est-ce que le tribunal de première instance a compétence pour traiter des contestations élevées sur l'exécution des jugements et arrêts en matière de consommation ?,4592
108,"Je conteste une décision d'un organisme de sécurité sociale à Bruxelles. Est-ce que la Commission d'avis sur les recours peut assister le Gouvernement concernant mon recours, conformément à l'article 31 ?",9923
109,J'ai reçu une décision de l'organisme payeur concernant mes prestations sociales. Ai-je le droit d'introduire un recours contre cette décision et dans quel délai dois-je le faire ?,10889
110,Je souhaite contracter un prêt garanti par une hypothèque sur un navire en Belgique. Est-ce que la section présentée s'applique également aux crédits garantis par une hypothèque sur navire ?,18888
111,Je souhaite acheter ma première maison en Belgique. Le Guichet du Crédit social peut-il m'aider dans l'accès à la propriété pour mon premier logement ?,12217
112,"Je souhaite vérifier si un prêteur de crédit hypothécaire est agréé en Belgique. Est-ce que la FSMA publie une liste des prêteurs en crédit hypothécaire sur son site web, incluant les prêteurs de droit belge et étranger?",14546
113,"Une municipalité souhaite conclure un contrat de prêt avec un organisme pour financer des travaux publics. Est-ce que la municipalité serait considérée comme ""l'emprunteur"" selon l'article 404 du Code décrétal ?",9347
114,Je souhaite comparer différentes offres de crédit pour choisir la meilleure option. Est-ce que le prêteur et l'intermédiaire de crédit sont tenus de me fournir des informations personnalisées sur les différentes offres de crédit avant de conclure un contrat de crédit selon la loi en vigueur?,14404
115,"Je demande un crédit à une institution financière. Mon prêt est refusé. Est-ce que le prêteur est tenu de me communiquer les raisons du refus ainsi que les informations sur les fichiers consultés et les assureurs de crédit contactés, conformément à la loi ?",14413
116,"J'ai accepté une offre de crédit pour financer un projet. Le prêteur doit-il mettre immédiatement à ma disposition le montant du crédit par virement sur mon compte ou par chèque, selon la loi ?",14424
117,"J'emprunte de l'argent pour financer des achats. Quelles situations entraînent une réduction automatique des obligations du consommateur, selon l'article de loi VII.147/9 ?",14584
118,J'ai l'intention de faire de la publicité pour un contrat de crédit. Est-il autorisé d'inciter un consommateur en difficulté financière à recourir au crédit dans ma publicité ?,14400
119,Une association sans but lucratif souhaite contracter un prêt. Quels documents doivent être inclus dans la demande de prêt à soumettre à l'administration selon l'article de la loi en question ?,9352
120,Je suis en litige concernant le montant d'une pension alimentaire ou d'une rente perpétuelle/viagère. Comment est déterminée la valeur de la demande en cas de contestation du montant d'une pension alimentaire ou d'une rente perpétuelle/viagère selon cet article de la loi statutaire belge?,4581
121,Mon parent qui me verse une pension alimentaire est tombé dans une situation où il n'est plus en mesure de payer. Puis-je demander une réduction ou une décharge de la pension alimentaire en vertu de cet article ?,1065
122,Mon conjoint est décédé et avait des dettes de pension alimentaire. Les héritiers doivent-ils rembourser les dettes de pension alimentaire du défunt conformément à l'article 205bis de la loi ?,1155
123,Je bénéficie actuellement d'une allocation familiale. Est-ce que mon droit à l'allocation peut être révisé si ma situation familiale ou mes revenus changent selon l'article 43/39 du Code décrétal ?,7281
124,Le conjoint survivant est confronté à une situation où la nue-propriété appartient aux descendants de l'époux prédécédé. Est-ce que le conjoint survivant peut demander la conversion totale ou partielle de l'usufruit en pleine propriété ou une somme indexée et garantie dans ce cas ?,1672
125,"Je suis en procédure de divorce et nous avons convenu d'une pension alimentaire. Est-il possible de demander au juge compétent d'augmenter, réduire ou supprimer la pension alimentaire convenue si les circonstances changent après le divorce et de manière indépendante de notre volonté ?",5486
126,Vous avez travaillé pour la même entreprise pendant plusieurs années. Est-il requis de demander chaque année le supplément de salaire ou est-il automatiquement liquidé pour l'année suivante ?,8982
127,Je suis un salarié qui a reçu un supplément pour la première fois. Est-ce que ce supplément sera automatiquement calculé à l'avance pour l'année suivante si mon ancienneté est moindre que celle utilisée pour l'octroi initial ?,7901
128,Je travaille depuis plusieurs années dans la même entreprise. Est-ce que mon ancienneté est prise en compte pour le calcul du supplément accordé automatiquement chaque année ?,8884
129,"Mon conjoint est décédé et j'ai reçu l'usufruit de certains biens selon un testament. Ai-je le droit de demander la conversion de l'usufruit en pleine propriété des biens conformément à l'article 745quater, § 4 ?",1673
130,Je souhaite sortir anticipativement d'un bail de colocation à Bruxelles. Dois-je respecter un préavis de deux mois pour sortir anticipativement du bail en tant que colocataire ?,881
131,Un locataire a signé un bail écrit avec un propriétaire à Bruxelles. Le locataire doit-il donner un préavis pour mettre fin au bail à l'expiration du terme fixé ?,2507
132,Deux locataires partagent un même bail de location à Bruxelles. Qu'advient-il du contrat de bail en cas de décès du propriétaire ou d'un des locataires selon l'article donné ?,2512
133,"Je suis locataire d'un appartement à Bruxelles avec deux colocataires, mais notre bail n'a pas été formalisé par écrit. Est-il obligatoire d'établir un bail écrit comportant les informations spécifiques telles que l'identité des parties, la date de début du bail et le montant du loyer pour une colocation à Bruxelles?",836
134,Vous avez conclu un bail principal pour une résidence principale avec une personne morale responsable de l'accompagnement social. Est-il possible pour la personne morale de céder le bail au sous-locataire si les objectifs d'accompagnement social sont atteints avant la fin des trois années de bail?,886
135,Je recherche un logement à louer et je m'apprête à signer un bail. Dois-je obligatoirement fournir mon numéro d'entreprise dans le bail si je suis une personne morale pour louer un logement en Belgique ?,2475
136,Un accord environnemental a été conclu entre deux parties. Comment doivent être notifiées les parties impliquées en cas de résiliation de la convention environnementale conforme à la loi belge ?,11892
137,"Je suis associé(e) dans une société et souhaite me retirer. Ai-je le droit de demander le rachat de ma part par les autres associés en cas de retrait de la société, si la convention ne prévoit pas les modalités de remboursement ?",20061
138,Un apprenti souhaite candidater pour un poste nécessitant des qualifications spécifiques. Est-ce que l'ancienneté de l'apprentissage peut être un critère déterminant dans la sélection du candidat pour ce poste ?,18412
139,Je suis sur le point de signer un bail pour un logement en Belgique. Quelles informations minimales le bailleur est-il légalement tenu de me fournir avant la conclusion du bail selon cet article de loi ?,835
140,Je reçois une décision fiscale avec laquelle je ne suis pas d'accord. Est-ce que la procédure pour contester cette décision est soumise aux mêmes règles que les recours en matière d'impôts d'Etat sur le revenu ?,17696
141,J'ai une créance à récupérer en vertu de l'article VIII.10. Puis-je recouvrer les sommes dues par voie de contrainte selon les articles 94 et 95 des lois sur la comptabilité de l'Etat ?,14784
142,J'ai reçu une demande de paiement d'amendes fiscales datant de plusieurs années. Est-ce que l'action en paiement des amendes fiscales se prescrit après six ans à compter du jour où l'action est née selon l'article 202/5 ?,22387
143,Un bénéficiaire demande un budget d'assistance personnelle. Les revenus des représentants légaux du bénéficiaire sont-ils pris en compte pour l'octroi du budget d'assistance personnelle ?,8104
144,J'ai une dette envers le trésor public fédéral et je souhaite savoir si cette dette peut être prescrite. Est-ce que l'action en recouvrement des sommes dues au trésor se prescrit et dans quel délai ?,4782
145,Je réside dans une commune en Belgique. Est-ce que les centimes additionnels communaux aux impôts de l'État doivent être recouvrés selon des règles spécifiques établies par la loi ?,17321
146,J'ai des questions concernant la perception de la taxe liée à ma situation fiscale. Les fonctionnaires mentionnés à l'article 285 sont-ils habilités à régler les différends liés au paiement de la taxe avant que des procédures judiciaires ne soient engagées ?,530
147,"J'ai un litige concernant le paiement d'une taxe depuis plusieurs années. Est-ce que l'action en recouvrement de la taxe, des intérêts et des accessoires peut être engagée après plus de cinq ans à compter de sa naissance ?",529
148,Je suis sur le point de faire ma déclaration de revenus en Belgique. Dois-je suivre des règles spécifiques concernant la forme et le contenu de ma déclaration d'impôts en fonction de la loi statutaire ?,22379
149,Je suis un entrepreneur d'affichage et un fabricant d'affiches. Comment dois-je acquitter la taxe due et où dois-je déposer ma déclaration pour la perception de celle-ci ?,22338
150,"Un couple a donné les consentements formels en vue du mariage, mais des circonstances montrent qu'un des époux cherche uniquement un avantage en matière de séjour. Les consentements donnés en vue du mariage peuvent-ils être annulés si l'intention d'au moins un des époux n'est pas la création d'une communauté de vie durable ?",1014
151,Un couple a rédigé un contrat de mariage avec des clauses dérogatoires au régime légal. Que se passe-t-il si le notaire n'effectue pas l'inscription du contrat de mariage comme prescrit par la loi ?,2233
152,"Suite à une demande de divorce pour cause de désunion irrémédiable, les circonstances se sont modifiées défavorablement pour l'un des époux. Le tribunal de la famille peut-il accorder une indemnisation à cet époux lésé afin de remédier à des conséquences manifestement inéquitables résultant du régime matrimonial de séparation de biens ?",2327
153,"Mon conjoint estime que ma nouvelle profession pourrait nuire à ses intérêts. Ai-je le droit d'exercer une nouvelle profession sans son accord, selon la loi ?",1072
154,"Je souhaite me marier en Belgique, mais l'officier de l'état civil semble hésiter à célébrer notre mariage. Est-ce que l'officier de l'état civil peut surseoir à la célébration de notre mariage pour une enquête complémentaire, même après avoir recueilli l'avis du procureur du Roi ?",1032
155,"Un couple marié envisage de modifier les termes de leur contrat de mariage. Peuvent-ils modifier les droits, obligations et pouvoirs entre eux à travers un contrat de mariage, en contradiction avec les dispositions du présent chapitre de la loi ?",1068
156,Un couple belge a décidé de se séparer. Un acte de dissolution de mariage établi à l'étranger peut-il être reconnu en Belgique sans l'accord des deux époux ?,16011
